timestamp,cash,position_quantity,position_mark_value,realized_equity,mtm_equity,unrealized_pnl,drawdown,drawdown_pct
2024-12-15 17:05:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:10:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:15:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:20:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:25:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:30:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:35:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:40:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:45:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:50:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 17:55:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:00:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:05:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:10:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:15:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:20:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:25:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:30:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:35:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:40:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:45:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:50:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 18:55:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
