investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
05_momentum_persistence,ret6_negative,12h,forward_return,51884,0.0013912027688790854,-0.02834252103917641,-0.007794597513572005,0.001168168293830596,0.0101981968439821,0.03290295582623363
05_momentum_persistence,ret6_negative,12h,mfe,51884,0.014370286813188358,0.0009732600443315144,0.0048115950141983665,0.010316877849793071,0.018986681229488878,0.0422174065400872
05_momentum_persistence,ret6_negative,12h,mae,51884,0.014231179878373246,0.0006622521280815419,0.004148458176811393,0.009524183614682658,0.018848847960651005,0.04319089755910073
05_momentum_persistence,ret6_negative,12h,future_vol,51884,0.028601466691561606,0.008900774130688521,0.01672086378360721,0.023904486915095974,0.035486947989640014,0.06187404668399717
05_momentum_persistence,ret12_Q1,12h,forward_return,26285,0.001591179024671857,-0.03050754735749763,-0.00887504234728953,0.0016259781805578744,0.011553978329664538,0.03484227178214665
05_momentum_persistence,ret12_Q1,12h,mfe,26285,0.01570727508073222,0.0011726458209196712,0.005478527307023473,0.011372113605725431,0.021016437993261805,0.04508132057353324
05_momentum_persistence,ret12_Q1,12h,mae,26285,0.016020361951999105,0.0007470551885936594,0.004883932424933679,0.010937005958895796,0.021109129038373475,0.047502334291554704
05_momentum_persistence,ret12_Q1,12h,future_vol,26285,0.03172763703273133,0.011564971759294062,0.01852452360469555,0.026758891180733962,0.03913641916684381,0.06695770353898217
05_momentum_persistence,ret12_Q2,12h,forward_return,26313,0.0012030078660789894,-0.026375216230829942,-0.006774501054681248,0.0009510251096891409,0.009022462590655422,0.03066096231213504
05_momentum_persistence,ret12_Q2,12h,mfe,26313,0.012920088161127346,0.0008218839169887637,0.004192301672720111,0.00906553263701615,0.01680429275272055,0.03882603506947893
05_momentum_persistence,ret12_Q2,12h,mae,26313,0.012475247408421358,0.0005763271476715516,0.003545359749739352,0.008173607459757704,0.01644687862166372,0.03842071232987721
05_momentum_persistence,ret12_Q2,12h,future_vol,26313,0.025395335569548705,0.0077616918130562875,0.014434356888463281,0.021350683665314566,0.03196558024580355,0.056282149686261475
05_momentum_persistence,ret12_Q3,12h,forward_return,26313,0.0011178480230479943,-0.02664213114976397,-0.006965345089651409,0.0006208495092916433,0.009064752737725446,0.031021349414596503
05_momentum_persistence,ret12_Q3,12h,mfe,26313,0.01302011017258731,0.0007245611473167823,0.004203952705774672,0.009197590508815967,0.017020927538015096,0.03932349646074689
05_momentum_persistence,ret12_Q3,12h,mae,26313,0.012581017642634387,0.0006672049204254905,0.0036447994144230833,0.008356462980454893,0.016626316403106522,0.03789672051257253
05_momentum_persistence,ret12_Q3,12h,future_vol,26313,0.025601127815221697,0.007791677661617988,0.014495577152590585,0.021681096319571266,0.03220358785573148,0.05483710563617794
05_momentum_persistence,ret12_Q4,12h,forward_return,26304,0.0011775530494607628,-0.031122475338751253,-0.009087634246655346,0.0007488662897190412,0.011365763388526406,0.035554825576579456
05_momentum_persistence,ret12_Q4,12h,mfe,26304,0.01581082944305991,0.0008839359758296528,0.005240708001982786,0.011360265128247615,0.02175288345921972,0.046760054663215686
05_momentum_persistence,ret12_Q4,12h,mae,26304,0.015633997882723755,0.0010096802691641816,0.005021401701328337,0.010968624552968376,0.020646461848980335,0.04550190306812976
05_momentum_persistence,ret12_Q4,12h,future_vol,26304,0.031444827325783666,0.011480902696878468,0.01890012861468052,0.026638676663312204,0.03923471360494821,0.06658065407154039
05_momentum_persistence,ret12_positive,12h,forward_return,53715,0.001146398285479174,-0.028813197858475557,-0.007977896750630986,0.0006893616587493323,0.010098368742688213,0.03335961741666882
05_momentum_persistence,ret12_positive,12h,mfe,53715,0.014380314496908438,0.0007965364927472908,0.004638196035221753,0.010193044566433329,0.019490800481980264,0.043004140472899084
05_momentum_persistence,ret12_positive,12h,mae,53715,0.014062414277431514,0.0008024340518385964,0.004231721528956345,0.009552244543715505,0.018605781092214835,0.0417359690519363
05_momentum_persistence,ret12_positive,12h,future_vol,53715,0.02844272877433995,0.008804450826696137,0.01676023683791919,0.024094872808921426,0.03543793510940689,0.0614369589600968
05_momentum_persistence,ret12_negative,12h,forward_return,51474,0.00140134227956893,-0.028321562457380472,-0.007851325871176318,0.0012251005200107912,0.010190998383060701,0.03287941215286519
05_momentum_persistence,ret12_negative,12h,mfe,51474,0.014346182047366382,0.0009779753566205752,0.004808580569666487,0.010285928375615705,0.01890017356028123,0.04198979068965392
