timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
15m,DEVELOPMENT,56,CLOSED,BTCUSDT,LONG,2024-02-12 20:30:00+00:00,2024-02-12 20:45:00+00:00,49986.44,50011.43322,2024-02-13 13:30:00+00:00,49511.3188878,49486.563228356106,0.0003749802090669078,18.753297684571297,0.187532976845713,49511.3188878,51011.6618844,SL,-0.1781610139848586,0.018753297684571298,0.018556481825371722,0.009371962860853967,0.009282882353860475,0.018654845214714444,-0.23412563870951605,-1.2484504999999853,0 days 16:45:00
15m,DEVELOPMENT,57,CLOSED,BTCUSDT,LONG,2024-02-13 23:45:00+00:00,2024-02-14 00:00:00+00:00,49699.6,49724.449799999995,2024-02-14 04:30:00+00:00,49227.205301999995,49202.591699348995,0.0003724406406123522,18.519405937608745,0.18519405937608746,49227.205301999995,50718.938795999995,SL,-0.17593898394500004,0.018519405937608747,0.018325044772293544,0.009255075431087459,0.009167105939116101,0.018422181370203558,-0.2312056160251059,-1.248450499999999,0 days 04:30:00
15m,DEVELOPMENT,58,CLOSED,BTCUSDT,LONG,2024-02-14 05:15:00+00:00,2024-02-14 05:30:00+00:00,49491.23,49515.975615,2024-02-14 08:45:00+00:00,50506.29512730001,50481.04197973636,0.00036934405652071743,18.288431296225028,0.18288431296225027,49020.81585885,50506.29512730001,TP,0.37490827174970187,0.018288431296225028,0.018644872822188453,0.009139645825199846,0.009327099961074649,0.018466745786274497,0.3195082218450139,1.7470510000000086,0 days 03:15:00
15m,DEVELOPMENT,59,CLOSED,BTCUSDT,LONG,2024-02-14 08:45:00+00:00,2024-02-14 09:00:00+00:00,50758.0,50783.379,2024-02-14 12:00:00+00:00,51799.04658,51773.147056710004,0.00036641162316192525,18.60762032903723,0.18607620329037228,50275.545210000004,51799.04658,TP,0.3814515671649718,0.01860762032903723,0.018970282849250165,0.0092991605842268,0.009489886367808212,0.01878904695203501,0.32508461703464936,1.7470510000000063,0 days 03:00:00
15m,DEVELOPMENT,60,CLOSED,BTCUSDT,LONG,2024-02-14 13:45:00+00:00,2024-02-14 14:00:00+00:00,51786.0,51811.893,2024-02-14 15:15:00+00:00,51293.77407,51268.127182965,0.0003654060697263986,18.932380186214704,0.18932380186214703,51293.77407,52848.13086,SL,-0.1798623424987216,0.018932380186214706,0.01873368485616038,0.00946145936342432,0.009371528192176265,0.018832987555600585,-0.2363613950966973,-1.2484504999999941,0 days 01:15:00
15m,DEVELOPMENT,61,CLOSED,BTCUSDT,LONG,2024-02-14 19:45:00+00:00,2024-02-14 20:00:00+00:00,51677.99,51703.828994999996,2024-02-15 14:30:00+00:00,52737.905574899996,52711.53662211255,0.0003616029079431593,18.696254916387833,0.18696254916387833,51186.79070504999,52737.905574899996,TP,0.38326855405808485,0.018696254916387833,0.019060644924708235,0.00934345573032812,0.00953509000735594,0.01887854573768406,0.32663310847930477,1.7470510000000106,0 days 18:30:00
15m,DEVELOPMENT,62,CLOSED,BTCUSDT,LONG,2024-02-15 14:30:00+00:00,2024-02-15 14:45:00+00:00,52595.01,52621.307505,2024-02-15 15:30:00+00:00,52095.09442995,52069.04688273503,0.00036149922189329805,19.022561718065464,0.19022561718065464,52095.09442995,53673.7336551,SL,-0.18071908958542135,0.019022561718065465,0.01882291993283437,0.009506527595233308,0.009416168050440637,0.018922695645673945,-0.23748726688199512,-1.2484504999999908,0 days 00:45:00
15m,DEVELOPMENT,63,CLOSED,BTCUSDT,LONG,2024-02-16 03:00:00+00:00,2024-02-16 03:15:00+00:00,52271.12,52297.25556,2024-02-16 07:45:00+00:00,51774.2830044,51748.3958628978,0.0003592026292784749,18.78531170120034,0.18785311701200338,51774.2830044,53343.2006712,SL,-0.17846515514233893,0.01878531170120034,0.018588159854896244,0.009387961869663602,0.00929872929209431,0.01868669116175791,-0.23452531786019343,-1.2484504999999964,0 days 04:30:00
15m,DEVELOPMENT,64,CLOSED,BTCUSDT,LONG,2024-02-18 04:15:00+00:00,2024-02-18 04:30:00+00:00,51616.94,51642.74847,2024-02-20 13:30:00+00:00,52675.6034394,52649.265637680306,0.00035921830700284146,18.55102067436698,0.1855102067436698,51126.3209853,52675.6034394,TP,0.380291288387073,0.01855102067436698,0.0189125800673104,0.009270874899732296,0.009461020543925567,0.018731895443657862,0.3240957922017378,1.7470510000000146,2 days 09:00:00
15m,DEVELOPMENT,65,CLOSED,BTCUSDT,LONG,2024-02-20 16:00:00+00:00,2024-02-20 16:15:00+00:00,51680.25,51706.090124999995,2024-02-20 17:00:00+00:00,51189.029223749996,51163.43470913812,0.00036504003007998745,18.87479269454854,0.1887479269454854,51189.029223749996,52740.21192749999,SL,-0.17931524693821618,0.018874792694548538,0.018676701745219255,0.009432680007268872,0.00934302238380176,0.018775702391070632,-0.2356424437690546,-1.2484504999999995,0 days 00:45:00
15m,DEVELOPMENT,66,CLOSED,BTCUSDT,LONG,2024-02-21 23:00:00+00:00,2024-02-21 23:15:00+00:00,51624.85,51650.662424999995,2024-02-22 13:15:00+00:00,51134.15580074999,51108.58872284962,0.00036087408723715366,18.639385657816224,0.18639385657816224,51134.15580074999,52683.675673499994,SL,-0.17707882126691227,0.018639385657816223,0.018443765305337444,0.009315035311251201,0.009226495900617353,0.018541531211868554,-0.2327035034419345,-1.2484504999999977,0 days 14:00:00
15m,DEVELOPMENT,67,CLOSED,BTCUSDT,LONG,2024-02-22 20:15:00+00:00,2024-02-22 20:30:00+00:00,51915.2,51941.15759999999,2024-02-22 22:15:00+00:00,51421.74602399999,51396.035150988,0.0003543801385244195,18.4069146254067,0.184069146254067,51421.74602399999,52979.98075199999,SL,-0.1748702883703071,0.0184069146254067,0.01821373405641306,0.009198857883759442,0.009111422739574337,0.01831028062333378,-0.22980121767546063,-1.2484504999999868,0 days 01:45:00
15m,DEVELOPMENT,68,CLOSED,BTCUSDT,LONG,2024-02-24 07:45:00+00:00,2024-02-24 08:00:00+00:00,51068.7,51094.23434999999,2024-02-26 15:15:00+00:00,52116.11903699999,52090.060977481495,0.0003557611384263218,18.177342979377272,0.18177342979377273,50583.29200649999,52116.11903699999,TP,0.37263098901251895,0.018177342979377273,0.018531619394045337,0.009084129424974174,0.009270444919480526,0.0183545743444547,0.3175674522946416,1.7470510000000066,2 days 07:15:00
15m,DEVELOPMENT,69,CLOSED,BTCUSDT,LONG,2024-02-26 15:15:00+00:00,2024-02-26 15:30:00+00:00,52350.77,52376.94538499999,2024-02-26 16:00:00+00:00,53424.48429269999,53397.77205055364,0.00035310560868955155,18.49459318146982,0.1849459318146982,51853.17593114999,53424.48429269999,TP,0.37913453888250304,0.018494593181469822,0.018855052802576665,0.009242675253106594,0.009432242522549622,0.018674917775656216,0.3231099751228003,1.7470510000000001,0 days 00:30:00
15m,DEVELOPMENT,70,CLOSED,BTCUSDT,LONG,2024-02-26 16:00:00+00:00,2024-02-26 16:15:00+00:00,53509.44,53536.19472,2024-02-26 20:00:00+00:00,54606.9186144,54579.615155092804,0.0003514889406656859,18.817380369404688,0.18817380369404688,53000.8327728,54606.9186144,TP,0.3857515955786992,0.01881738036940469,0.019184131112804387,0.009403988190606049,0.009596863988394074,0.019000852179000122,0.32874923191749,1.747051000000009,0 days 03:45:00
15m,DEVELOPMENT,71,CLOSED,BTCUSDT,LONG,2024-02-26 21:30:00+00:00,2024-02-26 21:45:00+00:00,54581.82,54609.110909999996,2024-02-27 01:45:00+00:00,55701.2931282,55673.4424816359,0.000350597196355473,19.14580118051107,0.1914580118051107,54063.019800899994,55701.2931282,TP,0.3924841401422108,0.019145801180511072,0.019518952845519237,0.009568116531988167,0.009764358602059483,0.01933247513404765,0.33448691098213285,1.7470510000000123,0 days 04:00:00
15m,DEVELOPMENT,72,CLOSED,BTCUSDT,LONG,2024-02-27 01:45:00+00:00,2024-02-27 02:00:00+00:00,55768.41,55796.294205,2024-02-27 02:00:00+00:00,56912.220089099996,56883.763979055446,0.00034912630339147785,19.479953938734987,0.19479953938734987,55238.33126295,56912.220089099996,TP,0.3993341881893572,0.019479953938734987,0.01985961824100093,0.00973510941465836,0.009934776508754795,0.019669885923413157,0.34032473008620817,1.747050999999996,0 days 00:00:00
15m,DEVELOPMENT,73,CLOSED,BTCUSDT,LONG,2024-02-27 02:00:00+00:00,2024-02-27 02:15:00+00:00,56355.13,56383.307564999996,2024-02-27 03:45:00+00:00,55819.474489349996,55791.564752105325,0.0003515213906390108,19.819938684075858,0.19819938684075858,55819.474489349996,57510.973716299995,SL,-0.1882943700071381,0.019819938684075857,0.019611928427586484,0.009905016833620465,0.009810869648615932,0.0197158864822364,-0.24744212360103685,-1.248450499999992,0 days 01:30:00
15m,DEVELOPMENT,74,CLOSED,BTCUSDT,LONG,2024-02-27 06:30:00+00:00,2024-02-27 06:45:00+00:00,56445.0,56473.222499999996,2024-02-27 07:15:00+00:00,55908.490275,55880.5360298625,0.0003465845030430749,19.572743755403494,0.19572743755403493,55908.490275,57602.686949999996,SL,-0.185945956416903,0.019572743755403493,0.019367327809690537,0.00978148113713187,0.009688508158922852,0.019469989296054722,-0.24435601727805176,-1.2484504999999901,0 days 00:30:00
15m,DEVELOPMENT,75,CLOSED,BTCUSDT,LONG,2024-02-27 08:15:00+00:00,2024-02-27 08:30:00+00:00,56354.8,56382.9774,2024-02-27 19:45:00+00:00,57510.63694800001,57481.88162952601,0.0003428097050091366,19.328631850030817,0.19328631850030817,55819.147626000005,57510.63694800001,TP,0.39623212318254203,0.01932863185003082,0.01970534688478792,0.009659486181924613,0.00985760224351415,0.019517088425438762,0.33768105602228454,1.7470510000000137,0 days 11:15:00
15m,DEVELOPMENT,76,CLOSED,BTCUSDT,LONG,2024-02-27 19:45:00+00:00,2024-02-27 20:00:00+00:00,57339.69,57368.359845,2024-02-27 20:45:00+00:00,56794.67624655,56766.27890842673,0.0003428017746276008,19.66597556234079,0.1966597556234079,56794.67624655,58515.7270419,SL,-0.1868316818791106,0.01966597556234079,0.019459581148814027,0.00982807374429712,0.009734657903357584,0.019562731647654704,-0.2455199702379201,-1.2484504999999935,0 days 00:45:00
15m,DEVELOPMENT,77,CLOSED,BTCUSDT,LONG,2024-02-28 02:30:00+00:00,2024-02-28 02:45:00+00:00,56927.93,56956.393964999996,2024-02-28 07:45:00+00:00,58095.5218443,58066.47408337785,0.0003409749022863445,19.420700866798416,0.19420700866798415,56386.83002535,58095.5218443,TP,0.39811951502052434,0.019420700866798417,0.01979921032669232,0.00970549768455535,0.009904557442066812,0.019610055126622162,0.33928954870041145,1.7470510000000055,0 days 05:00:00
15m,DEVELOPMENT,78,CLOSED,BTCUSDT,LONG,2024-02-28 07:45:00+00:00,2024-02-28 08:00:00+00:00,58241.09,58270.210544999994,2024-02-28 08:45:00+00:00,59435.614755899995,59405.89694852205,0.0003391038281840608,19.759651464900728,0.1975965146490073,57687.508439549994,59435.614755899995,TP,0.40506791758632016,0.01975965146490073,0.020144767071951643,0.009874888288305515,0.010077422247097081,0.019952310535402598,0.34521118851406524,1.7470510000000121,0 days 00:45:00
15m,DEVELOPMENT,79,CLOSED,BTCUSDT,LONG,2024-02-28 08:45:00+00:00,2024-02-28 09:00:00+00:00,59448.42,59478.14421,2024-02-28 09:15:00+00:00,58883.3627679,58853.92108651605,0.0003380152164147793,20.104517787092604,0.20104517787092605,58883.3627679,60667.7070942,SL,-0.19099794259501768,0.020104517787092605,0.019893520872917066,0.010047235275908454,0.009951736304610463,0.019998971580518915,-0.25099495283554624,-1.2484504999999984,0 days 00:15:00
15m,DEVELOPMENT,80,CLOSED,BTCUSDT,LONG,2024-02-28 10:45:00+00:00,2024-02-28 11:00:00+00:00,59266.01,59295.643005,2024-02-28 11:45:00+00:00,58702.68657495,58673.335231662524,0.00033482685358166285,19.853773578465685,0.19853773578465686,58702.68657495,60481.555865099996,SL,-0.18861580995833807,0.019853773578465687,0.01964540822475969,0.009921925826318359,0.009827617921340574,0.019749543747658933,-0.24786453550922238,-1.2484504999999981,0 days 00:45:00
15m,DEVELOPMENT,81,CLOSED,BTCUSDT,LONG,2024-02-28 12:30:00+00:00,2024-02-28 12:45:00+00:00,59378.99,59408.679495,2024-02-28 13:15:00+00:00,60596.853084899994,60566.55465835755,0.0003300217548435017,19.606156659875055,0.19606156659875054,58814.592700049994,60596.853084899994,TP,0.4019213124378173,0.019606156659875053,0.01998828065317602,0.009798179240316944,0.009999139896534849,0.019797319136851795,0.34252955598791446,1.7470510000000037,0 days 00:30:00
15m,DEVELOPMENT,82,CLOSED,BTCUSDT,LONG,2024-02-28 15:00:00+00:00,2024-02-28 15:15:00+00:00,61201.4,61232.0007,2024-02-28 16:45:00+00:00,62456.640714,62425.412393643004,0.00032578298602766955,19.94834402849435,0.1994834402849435,60619.680692999995,62456.640714,TP,0.4089360679904238,0.019948344028494353,0.020337137253609708,0.009969187420535413,0.010173655454531092,0.020142842875066506,0.3485077438332533,1.7470510000000123,0 days 01:30:00
15m,DEVELOPMENT,83,CLOSED,BTCUSDT,LONG,2024-02-28 16:45:00+00:00,2024-02-28 17:00:00+00:00,62412.0,62443.206,2024-02-28 17:00:00+00:00,63692.07012,63660.22408494,0.000325039422427211,20.296503612743354,0.20296503612743355,61818.77394,63692.07012,TP,0.4160732524711296,0.020296503612743353,0.020692082468155727,0.010143180216262997,0.010351216842499063,0.020494397058762062,0.3545902693314684,1.7470509999999977,0 days 00:00:00
15m,DEVELOPMENT,84,CLOSED,BTCUSDT,LONG,2024-02-28 17:00:00+00:00,2024-02-28 17:15:00+00:00,63690.12,63721.96506,2024-02-28 17:15:00+00:00,63084.7454094,63053.203036695304,0.0003240756876627547,20.65073964604153,0.2065073964604153,63084.7454094,64996.4043612,SL,-0.1961871867422549,0.02065073964604153,0.02043401013345632,0.010320209718161569,0.010222116124788797,0.020542325842950366,-0.2578142623647031,-1.248450499999997,0 days 00:00:00
15m,DEVELOPMENT,85,CLOSED,BTCUSDT,LONG,2024-02-28 19:00:00+00:00,2024-02-28 19:15:00+00:00,61116.8,61147.3584,2024-02-28 20:00:00+00:00,60535.884816,60505.616873592,0.00033350881336490385,20.393182940382484,0.20393182940382484,60535.884816,62370.305567999996,SL,-0.19374033368149643,0.020393182940382483,0.02017915648542317,0.010191495722328222,0.010094625555488632,0.020286121277816854,-0.25459879438511895,-1.2484504999999957,0 days 00:45:00
