investigation,regime,n,median_forward_return_1h,median_forward_return_4h,median_forward_return_12h,mfe,mae,p_plus_1R,p_minus_1R,p_plus_1R_before_minus_1R,future_volatility,monthly_consistency,clustering_note,interpretation,verdict,n_thinned144,p_race_thinned144,delta_p_race_vs_all,delta_median_fwd_12h_vs_all
04_volatility_regime,range24_Q2,26297,0.00012747221045628088,0.00022784292074518042,0.0008239959653959517,0.010116931311284771,0.009561902037268366,0.5043921359850934,0.4127847282960033,0.4302391907822185,0.023452816386247216,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 94.0; %<3h 97.6; %<12h 99.7,indistinguishable from baseline. monthly: mixed (7/12 months race>baseline),C,231,0.4025974025974026,0.006079137557868375,-0.00013092762891653287
04_volatility_regime,range24_Q3,26318,4.292859752119682e-07,0.0003051932934867718,0.0007458412516782031,0.010957500626026517,0.010815384437305675,0.538186792309446,0.43779922486511136,0.4502241811687818,0.025303903334813874,mixed (8/12 months race>baseline),median gap 5.0 min; %<1h 94.2; %<3h 97.6; %<12h 99.7,small directional difference (below ~0.30R cost scale). monthly: mixed (8/12 months race>baseline),C,159,0.4591194968553459,0.026064127944431692,-0.00020908234263428138
04_volatility_regime,range24_Q4,26265,0.00025509621377661773,0.0009601865290758127,0.0021319016622589615,0.013209566096267444,0.012173613773927783,0.6108128688368551,0.4600418808300019,0.4688749286122216,0.03015213233210545,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 97.2; %<3h 98.2; %<12h 99.4,directional difference versus baseline. monthly: broad (9/12 months race>baseline),C,132,0.42424242424242425,0.044714875387871444,0.001176978067946477
05_momentum_persistence,ALL,105215,8.094419309090384e-05,0.0003510923329543836,0.0009549235943124845,0.010239391630176842,0.00955178070313134,0.5093380221451314,0.402528156631659,0.42416005322435013,0.024008709923462837,baseline,median gap 5.0 min; %<1h 100.0; %<3h 100.0; %<12h 100.0,unconditional 2024 reference path,baseline,730,0.4041095890410959,0.0,0.0
05_momentum_persistence,ret3_Q1,26291,0.00040386717890505963,0.0007570801558564044,0.0014265701611020365,0.011413134880591924,0.010780501840545464,0.5547906127572173,0.43448328325282415,0.44581796051880873,0.026668453520227467,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 92.5; %<3h 99.5; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),C,151,0.423841059602649,0.0216579072944586,0.00047164656678955197
05_momentum_persistence,ret3_Q2,26312,0.00010043291986971958,0.0003415267730186855,0.0009064877391942172,0.009161205267104067,0.00823460178448654,0.466403162055336,0.36789297658862874,0.40186986926117363,0.021445584222768956,mixed (3/12 months race>baseline),median gap 10.0 min; %<1h 94.6; %<3h 99.9; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: mixed (3/12 months race>baseline),C,211,0.4028436018957346,-0.022290183963176502,-4.843585511826731e-05
05_momentum_persistence,ret3_Q3,26315,5.5334865225464824e-06,0.00016733140593994111,0.0006679322224565354,0.009130386508375388,0.008405464660929951,0.46562796883906515,0.37480524415732475,0.39821394641839253,0.021695859872611464,unstable (race edge concentrated in <=2 months),median gap 10.0 min; %<1h 94.8; %<3h 99.8; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: unstable (race edge concentrated in <=2 months),C,218,0.38990825688073394,-0.025946106805957603,-0.00028699137185594914
05_momentum_persistence,ret3_Q4,26297,-0.00012615998130738326,0.00021363033038501733,0.0009729164553602399,0.011409425957480845,0.010873675303562647,0.5505951249191923,0.43297714568201695,0.4507738525307069,0.026657014749909027,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 92.5; %<3h 99.5; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),B,150,0.4066666666666667,0.026613799306356767,1.7992861047755326e-05
05_momentum_persistence,ret3_positive,53093,-5.056190968166785e-05,0.0001892741924549579,0.0007710657210353578,0.010192029624404908,0.009567830192787508,0.5077128811707758,0.40321699659088767,0.4243308910779199,0.024053802452721814,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 99.5; %<3h 100.0; %<12h 100.0,indistinguishable from baseline. monthly: mixed (7/12 months race>baseline),C,374,0.40106951871657753,0.00017083785356974968,-0.00018385787327712677
05_momentum_persistence,ret3_negative,52057,0.00021742872428209825,0.0005248925845533492,0.0011354575790685217,0.010287313390072939,0.009538754537136374,0.5111320283535356,0.4018479743358242,0.42409282133046466,0.02396981845939284,mixed (5/12 months race>baseline),median gap 5.0 min; %<1h 99.4; %<3h 100.0; %<12h 100.0,indistinguishable from baseline. monthly: mixed (5/12 months race>baseline),C,355,0.4084507042253521,-6.723189388546658e-05,0.0001805339847560372
05_momentum_persistence,ret6_Q1,26288,0.0004698939185144857,0.0008157900254943673,0.0015629885996175652,0.011417061313788057,0.010851082967600068,0.5550060864272672,0.4363207547169811,0.4442711503347535,0.02669359707795929,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 90.8; %<3h 98.9; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),C,139,0.4316546762589928,0.020111097110403375,0.0006080650053050807
05_momentum_persistence,ret6_Q2,26310,0.00013422839947352383,0.00035414501701858114,0.0008804639262393055,0.009153333524891005,0.008221202878605949,0.4674648422652984,0.3652603572786013,0.40288863549980997,0.02139473493572317,mixed (4/12 months race>baseline),median gap 10.0 min; %<1h 92.9; %<3h 99.7; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: mixed (4/12 months race>baseline),C,236,0.3644067796610169,-0.021271417724540165,-7.445966807317905e-05
05_momentum_persistence,ret6_Q3,26312,-3.3239200529555646e-05,0.0002141691483721342,0.0006766395858512908,0.00918930317776634,0.008426306709501508,0.46758133171176647,0.3732137427789602,0.4010717543326239,0.021787597221624305,unstable (race edge concentrated in <=2 months),median gap 10.0 min; %<1h 93.0; %<3h 99.8; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: unstable (race edge concentrated in <=2 months),C,214,0.42990654205607476,-0.023088298891726255,-0.0002782840084611937
05_momentum_persistence,ret6_Q4,26305,-0.00017861088225512578,8.767355304550861e-05,0.0008537857707364704,0.011329622386469396,0.010850647068721853,0.5473484128492682,0.4353544953430907,0.44843185706139516,0.026548316251830198,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 90.7; %<3h 99.0; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),B,141,0.40425531914893614,0.024271803837045025,-0.00010113782357601409
05_momentum_persistence,ret6_positive,53298,-9.05971491633184e-05,0.0001492671030114412,0.0007370373325057411,0.010164776213079874,0.009581889018883627,0.5064167510976022,0.4033922473638786,0.42406844534504107,0.024104583979894078,mixed (6/12 months race>baseline),median gap 5.0 min; %<1h 98.1; %<3h 100.0; %<12h 100.0,indistinguishable from baseline. monthly: mixed (6/12 months race>baseline),C,364,0.4175824175824176,-9.160787930906356e-05,-0.00021788626180674342
05_momentum_persistence,ret6_negative,51884,0.00026920294998478145,0.0005646179807476948,0.001168168293830596,0.010316877849793071,0.009524183614682658,0.5124315781358415,0.4017038007863696,0.4243312003700563,0.023904486915095974,mixed (6/12 months race>baseline),median gap 5.0 min; %<1h 97.9; %<3h 100.0; %<12h 100.0,indistinguishable from baseline. monthly: mixed (6/12 months race>baseline),C,365,0.38904109589041097,0.00017114714570615197,0.00021324469951811142
05_momentum_persistence,ret12_Q1,26285,0.0005183363363362448,0.0009869747891513292,0.0016259781805578744,0.011372113605725431,0.010937005958895796,0.5557161879398896,0.43640859805972987,0.44626212668822524,0.026758891180733962,broad (10/12 months race>baseline),median gap 5.0 min; %<1h 91.3; %<3h 97.7; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: broad (10/12 months race>baseline),B,153,0.43790849673202614,0.022102073463875105,0.0006710545862453898
05_momentum_persistence,ret12_Q2,26313,0.00015196714247500687,0.00034471842474703696,0.0009510251096891409,0.00906553263701615,0.008173607459757704,0.46372515486641586,0.36772697905978036,0.39820620985824495,0.021350683665314566,mixed (4/12 months race>baseline),median gap 5.0 min; %<1h 90.4; %<3h 99.4; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: mixed (4/12 months race>baseline),C,212,0.37264150943396224,-0.025953843366105178,-3.898484623343634e-06
05_momentum_persistence,ret12_Q3,26313,-1.2880838079487589e-06,0.00016552030860039757,0.0006208495092916433,0.009197590508815967,0.008356462980454893,0.4680196100786683,0.3701592368791092,0.40193060464409225,0.021681096319571266,mixed (3/12 months race>baseline),median gap 5.0 min; %<1h 90.6; %<3h 99.3; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: mixed (3/12 months race>baseline),C,205,0.40487804878048783,-0.022229448580257882,-0.00033407408502084124
05_momentum_persistence,ret12_Q4,26304,-0.000294208865619483,1.9552320860594108e-05,0.0007488662897190412,0.011360265128247615,0.010968624552968376,0.5499543795620438,0.4358652676399027,0.45027372262773724,0.026638676663312204,broad (10/12 months race>baseline),median gap 5.0 min; %<1h 91.2; %<3h 97.7; %<12h 100.0,small directional difference (below ~0.30R cost scale). monthly: broad (10/12 months race>baseline),B,160,0.4125,0.026113669403387108,-0.0002060573045934433
05_momentum_persistence,ret12_positive,53715,-0.00012402316367721156,0.00011158879293116097,0.0006893616587493323,0.010193044566433329,0.009552244543715505,0.5080331378572094,0.40186167737131157,0.42539327934468957,0.024094872808921426,mixed (7/12 months race>baseline),median gap 5.0 min; %<1h 96.7; %<3h 99.9; %<12h 100.0,indistinguishable from baseline. monthly: mixed (7/12 months race>baseline),C,379,0.40369393139841686,0.0012332261203394368,-0.0002655619355631522
05_momentum_persistence,ret12_negative,51474,0.00030995656248000714,0.0006082003031546712,0.0012251005200107912,0.010285928375615705,0.009552633198647797,0.5106072968877492,0.40325212728756266,0.4228348292341765,0.023919222813953506,mixed (5/12 months race>baseline),median gap 5.0 min; %<1h 96.3; %<3h 99.9; %<12h 100.0,indistinguishable from baseline. monthly: mixed (5/12 months race>baseline),C,351,0.4045584045584046,-0.0013252239901736518,0.00027017692569830665
05_momentum_persistence,ret24_Q1,26282,0.0004836719738445794,0.0010581455001392737,0.0016974831319460648,0.0113422774148082,0.01102225313786992,0.552088882124648,0.44528574689901834,0.43969256525378586,0.02697471694008154,broad (9/12 months race>baseline),median gap 5.0 min; %<1h 94.4; %<3h 97.0; %<12h 99.9,small directional difference (below ~0.30R cost scale). monthly: broad (9/12 months race>baseline),B,157,0.39490445859872614,0.01553251202943573,0.0007425595376335803
05_momentum_persistence,ret24_Q2,26310,0.0001434769958550408,0.00044333807387664237,0.0008767666152209586,0.008849091170862855,0.008183267504479508,0.4530596731280882,0.3687951349296845,0.38582288103382745,0.020961870383636443,unstable (race edge concentrated in <=2 months),median gap 5.0 min; %<1h 92.1; %<3h 98.2; %<12h 100.0,directional difference versus baseline. monthly: unstable (race edge concentrated in <=2 months),C,206,0.41262135922330095,-0.038337172190522684,-7.815697909152597e-05
