investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
06_mean_reversion,ret3_Q1_bull,thinned144,4h,80,0.0010216939220652089,-0.0007383520880923644,0.008703874318233606,0.006538944348294162,0.017938478931577663,0.675,0.425,0.075,0.3875,0.2875,0.325,62.5,107.5,152.5,-0.0007165426269787334,0.13445290611560218
06_mean_reversion,ret3_Q1_bull,thinned144,12h,80,0.0020711703265190425,0.0015644247682014,0.011467886846837527,0.00997280124183475,0.022638258842412405,0.825,0.5625,0.225,0.4375,0.4125,0.15,70.0,150.0,297.5,0.0008932722980462549,-0.0005292257672657175
06_mean_reversion,ret3_Q1_bear,full,15m,13539,0.00010360714972642223,0.0003123280565771047,0.001771238003154929,0.0016434612555298322,0.004048878566871069,0.11130807297437034,0.019425363763941206,0.0019942388654996678,0.018686756776719108,0.03744737425216042,0.9438658689711205,10.0,10.0,10.0,0.00021860863341305325,0.008731161570003643
06_mean_reversion,ret3_Q1_bear,full,30m,13536,8.583567784542921e-05,0.00033130681973425613,0.0024662422872681056,0.0023722312348234964,0.005704638111050295,0.20774231678486998,0.045582151300236406,0.004654255319148936,0.04358747044917258,0.08000886524822695,0.8764036643026005,15.0,20.0,20.0,0.00016540164485201458,0.018078507840688516
06_mean_reversion,ret3_Q1_bear,full,1h,13535,0.00023399593336131347,0.0006863218962098738,0.003432446734666028,0.003299626200335304,0.00795556006493505,0.33542667159216843,0.0967861100849649,0.013446619874399704,0.09190986331732545,0.14104174362763205,0.7670483930550425,25.0,35.0,40.0,0.00034835814919753627,0.0329360243394305
06_mean_reversion,ret3_Q1_bear,full,2h,13530,0.0004893626396322449,0.0009457027351287284,0.004770235308374837,0.004624614342371103,0.011035577915640565,0.48004434589800443,0.1827790096082779,0.03695491500369549,0.16895787139689578,0.22084257206208427,0.61019955654102,40.0,60.0,75.0,0.00041983201454331986,0.047999617512356846
06_mean_reversion,ret3_Q1_bear,full,4h,13523,0.0009583485410107541,0.0014365888041070196,0.006633605805325127,0.00645521598534704,0.015293667011348214,0.617540486578422,0.3131701545515048,0.09354433187902093,0.2772313835687347,0.31479701249722697,0.4079716039340383,55.0,100.0,140.0,0.0006336507103410494,0.051392198603032735
06_mean_reversion,ret3_Q1_bear,full,12h,13510,0.0019253738864362711,0.0020008736756369494,0.011620323551314482,0.011092271116528052,0.026869014109556173,0.7901554404145078,0.5640266469282014,0.2685418208734271,0.44108068097705405,0.4409326424870466,0.11798667653589934,80.0,205.0,340.0,0.0007646845181550344,0.03268861809751222
06_mean_reversion,ret3_Q1_bear,thinned144,15m,71,0.0007983230133981729,0.001062288578418169,0.002210351658398668,0.0011540224320738535,0.0039219218715295595,0.16901408450704225,0.0,0.0,0.0,0.014084507042253521,0.9859154929577465,10.0,,,0.0009685691552541176,-0.009955595206715465
06_mean_reversion,ret3_Q1_bear,thinned144,30m,71,0.0007398684044104327,0.0007507794640888577,0.0028253017028785354,0.0017796155452163287,0.0060212470414678495,0.29577464788732394,0.056338028169014086,0.0,0.056338028169014086,0.028169014084507043,0.9154929577464789,15.0,25.0,,0.0005848742892066161,0.030829065560530024
06_mean_reversion,ret3_Q1_bear,thinned144,1h,71,0.0008052202111216202,0.0004140132716348166,0.0036775837754097207,0.002991949073207323,0.007693061094328017,0.352112676056338,0.11267605633802817,0.014084507042253521,0.11267605633802817,0.09859154929577464,0.7887323943661971,20.0,32.5,55.0,7.604952462247905e-05,0.05370221736013322
06_mean_reversion,ret3_Q1_bear,thinned144,2h,71,0.0004740074127424037,0.0009172267851813576,0.005138075990299029,0.00453815070247876,0.010926815924930581,0.5070422535211268,0.19718309859154928,0.04225352112676056,0.19718309859154928,0.19718309859154928,0.6056338028169014,27.5,45.0,90.0,0.00039135606459594907,0.07622484470701035
06_mean_reversion,ret3_Q1_bear,thinned144,4h,71,0.0018756315050499593,0.00130386197788801,0.006984595726389653,0.00644335471020363,0.015900560641990046,0.704225352112676,0.323943661971831,0.09859154929577464,0.29577464788732394,0.28169014084507044,0.4225352112676056,55.0,100.0,130.0,0.0005009238841220398,0.06993546292162195
06_mean_reversion,ret3_Q1_bear,thinned144,12h,71,0.0022398919962900803,0.0026995605448527638,0.010959793479773161,0.009766519061485512,0.023821847670285532,0.8309859154929577,0.5352112676056338,0.23943661971830985,0.4084507042253521,0.4084507042253521,0.18309859154929578,95.0,187.5,245.0,0.0014633713873708487,5.864134581029523e-05
06_mean_reversion,ret3_Q2,full,15m,26339,1.826079961790878e-05,2.934185772973663e-05,0.0009029127898481093,0.0009212785598678996,0.0022411898985266344,0.031018641558145717,0.0032271536504802764,0.00030373210828049663,0.0032271536504802764,0.005581077489654125,0.9911917688598656,10.0,15.0,10.0,7.784294716817186e-06,-0.006606173355100802
06_mean_reversion,ret3_Q2,full,30m,26339,4.752235286125772e-05,4.6215850747044485e-05,0.0013657918968692506,0.0013685597288179974,0.0033261328935195074,0.08151410455977827,0.012415049925965298,0.001518660541402483,0.012377083412430236,0.017768328334409052,0.9698545882531607,20.0,25.0,25.0,1.0726305290198468e-05,-0.015443671573189537
