trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
38,CLOSED,BTCUSDT,LONG,2024-01-24 00:50:00+00:00,2024-01-24 00:55:00+00:00,40206.46,40226.56323,2024-01-24 01:55:00+00:00,39824.2975977,39804.38544890116,0.00042078543645413414,16.926751965785375,0.16926751965785375,39824.2975977,41031.0944946,SL,-0.16080837324816452,0.016926751965785376,0.01674910570390446,0.008459146409688105,0.008378742223061661,0.016837888632749765,-0.21132211955060412,-1.248450499999981,0 days 01:00:00
39,CLOSED,BTCUSDT,LONG,2024-01-24 05:30:00+00:00,2024-01-24 05:35:00+00:00,39804.11,39824.012055,2024-01-26 10:40:00+00:00,40620.4922961,40600.18204995195,0.0004197377435040381,16.715640957243313,0.16715640957243313,39425.77193445,40620.4922961,TP,0.3426664628016582,0.016715640957243313,0.017041428799499988,0.008353643656792694,0.008524976888191918,0.01687862054498461,0.29203077249993026,1.7470510000000083,2 days 05:05:00
40,CLOSED,BTCUSDT,LONG,2024-01-26 10:40:00+00:00,2024-01-26 10:45:00+00:00,40642.0,40662.320999999996,2024-01-26 12:25:00+00:00,41475.56742,41454.82963629,0.00041825895749309975,17.007379990709776,0.17007379990709776,40255.69779,41475.56742,TP,0.34864704008941255,0.017007379990709778,0.01733885382672871,0.008499440275215722,0.008673763795261713,0.017173204070477434,0.29712760220149664,1.7470510000000095,0 days 01:40:00
41,CLOSED,BTCUSDT,LONG,2024-01-26 14:55:00+00:00,2024-01-26 15:00:00+00:00,41588.0,41608.793999999994,2024-01-28 04:30:00+00:00,42440.96988,42419.74939506,0.00041587869050325874,17.304210762139846,0.17304210762139846,41192.70606,42440.96988,TP,0.35473199673312045,0.017304210762139845,0.017641469829893952,0.008647781490322439,0.008825147488691515,0.017472928979013952,0.30231338716207273,1.7470510000000055,1 days 13:30:00
42,CLOSED,BTCUSDT,LONG,2024-01-28 04:30:00+00:00,2024-01-28 04:35:00+00:00,42478.45,42499.689224999995,2024-01-28 18:15:00+00:00,42074.69233275,42053.65498658363,0.00041426707957124213,17.606222137926135,0.17606222137926136,42074.69233275,43349.6830095,SL,-0.16726350966615483,0.017606222137926137,0.0174214448365886,0.008798711713105492,0.008715079958271112,0.017513791671376604,-0.21980496831204618,-1.248450499999981,0 days 13:40:00
43,CLOSED,BTCUSDT,LONG,2024-01-29 01:25:00+00:00,2024-01-29 01:30:00+00:00,42193.19,42214.286595,2024-01-29 16:30:00+00:00,43058.5723269,43037.04304073656,0.00041186617511277215,17.38663675499702,0.1738663675499702,41792.143729049996,43058.5723269,TP,0.356421708990493,0.01738663675499702,0.017725502305351915,0.008688973890551352,0.008867184745046148,0.0175561586355975,0.30375341129454664,1.747051000000021,0 days 15:00:00
44,CLOSED,BTCUSDT,LONG,2024-01-29 23:35:00+00:00,2024-01-29 23:40:00+00:00,43265.99,43287.622995,2024-01-30 23:40:00+00:00,42854.74676505,42833.31939166747,0.0004086638510590787,17.690086716330228,0.17690086716330228,42854.74676505,44153.3754549,SL,-0.16806024411666107,0.01769008671633023,0.017504429256242342,0.00884062304664177,0.008756592924583391,0.017597215971225162,-0.2208519760604588,-1.2484505000000028,1 days 00:00:00
45,CLOSED,BTCUSDT,LONG,2024-01-31 05:45:00+00:00,2024-01-31 05:50:00+00:00,43041.09,43062.610544999996,2024-01-31 09:55:00+00:00,42631.98443955,42610.66844733022,0.00040567571613799594,17.46945537161449,0.1746945537161449,42631.98443955,43923.862755899994,SL,-0.16596419121158984,0.01746945537161449,0.017286113437489394,0.008730362504554725,0.00864738040894867,0.017377742913503393,-0.2180975029341971,-1.2484504999999952,0 days 04:05:00
46,CLOSED,BTCUSDT,LONG,2024-01-31 15:30:00+00:00,2024-01-31 15:35:00+00:00,43277.99,43299.628995,2024-01-31 20:05:00+00:00,42866.63270505,42845.199388697474,0.00039842317702758423,17.251575748303605,0.17251575748303605,42866.63270505,44165.6215749,SL,-0.16389428034745251,0.017251575748303605,0.017070520460825158,0.008621477135584471,0.008539529995409297,0.01716100713099377,-0.21537738368757506,-1.2484504999999997,0 days 04:30:00
47,CLOSED,BTCUSDT,LONG,2024-02-01 07:45:00+00:00,2024-02-01 07:50:00+00:00,42295.73,42316.877865,2024-02-01 17:25:00+00:00,43163.2154223,43141.63381458886,0.0004025914572711943,17.036413526837496,0.17036413526837496,41893.709086350005,43163.2154223,TP,0.3492422203252745,0.017036413526837497,0.017368453226475563,0.008513949788524084,0.008688570898685069,0.017202520687209153,0.2976348328847523,1.747051000000015,0 days 09:35:00
48,CLOSED,BTCUSDT,LONG,2024-02-01 19:45:00+00:00,2024-02-01 19:50:00+00:00,43171.1,43192.685549999995,2024-02-02 13:45:00+00:00,42760.75869449999,42739.378315152746,0.00040131218518842164,17.33375102222686,0.1733375102222686,42760.75869449999,44056.539261,SL,-0.16467496598327694,0.01733375102222686,0.017151833305248592,0.008662544238992388,0.008580206756001123,0.017242750994993512,-0.2164033013057459,-1.2484504999999975,0 days 17:55:00
49,CLOSED,BTCUSDT,LONG,2024-02-02 16:00:00+00:00,2024-02-02 16:05:00+00:00,43399.74,43421.439869999995,2024-02-02 17:45:00+00:00,42987.22547129999,42965.731858564344,0.0003942191682100778,17.117563908035308,0.17117563908035308,42987.22547129999,44289.8686674,SL,-0.16262113437868825,0.01711756390803531,0.016937915074820478,0.008554504701665534,0.008473194134476942,0.017027698836142476,-0.21370431219768654,-1.2484505000000012,0 days 01:40:00
50,CLOSED,BTCUSDT,LONG,2024-02-02 22:20:00+00:00,2024-02-02 22:25:00+00:00,43109.94,43131.49497,2024-02-04 19:05:00+00:00,42700.1800203,42678.82993028985,0.000391919480148244,16.904073086659,0.16904073086659,42700.1800203,43994.1248694,SL,-0.1605929182295791,0.016904073086659,0.016726664839614516,0.00844781263700998,0.008367516177896155,0.016815328814906133,-0.21103898497075876,-1.2484504999999944,1 days 20:40:00
