ending_cash,ending_realized_equity,ending_mtm_equity,total_net_pnl,signals,filled_trades,closed_trades,open_end_of_data,ignored_position_open,tp_count,sl_count,win_rate,average_R,profit_factor,max_drawdown,max_drawdown_pct,entry_slippage_last,sample_id
-2.220446049250313e-16,1.1514546277969409,1.1422988278186865,-18.84854537220306,8703.0,992.0,991.0,1.0,7711.0,321.0,670.0,0.3239152371342079,-0.2781619212916185,0.683562212007225,20.18939148992213,0.9475908621919366,0.0005748647293720852,47
-2.220446049250313e-16,1.84698849403307,1.8414483230409509,-18.15301150596693,8667.0,971.0,970.0,1.0,7696.0,328.0,642.0,0.33814432989690724,-0.23553865257731382,0.7353966783376659,19.413158936514474,0.9142516387473215,0.0009221106200310879,48
-2.220446049250313e-16,1.1459958497558986,1.1386855787186132,-18.8540041502441,8855.0,990.0,989.0,1.0,7865.0,320.0,669.0,0.3235591506572295,-0.27922857886753705,0.6713842881803086,19.58533575876421,0.9459588913666149,0.0005721394296636094,49
-2.220446049250313e-16,1.2360758218278711,1.2269928508369063,-18.76392417817213,8827.0,1003.0,1002.0,1.0,7824.0,328.0,674.0,0.3273453093812375,-0.2678871347305326,0.7104060026876614,19.98923309708665,0.9425639045607115,0.000617111934456153,50
-2.220446049250313e-16,1.196507973707547,1.1869939317165152,-18.803492026292453,8685.0,1027.0,1026.0,1.0,7658.0,337.0,689.0,0.3284600389863548,-0.26454796052630947,0.7069646320698403,20.04495705057264,0.9450792159073909,0.0005973576516974514,51
-2.220446049250313e-16,1.2791320593869848,1.2698210635926832,-18.720867940613015,8787.0,986.0,985.0,1.0,7801.0,322.0,663.0,0.3269035532994924,-0.26921041573603494,0.7009153042950031,19.445337275561865,0.9391970563082686,0.0006386077986914643,52
-2.220446049250313e-16,1.1036497169037602,1.0955398435563612,-18.89635028309624,8917.0,993.0,992.0,1.0,7924.0,320.0,672.0,0.3225806451612903,-0.2821596935483806,0.6985968808191136,20.60945548554938,0.9498912056448234,0.0005509980858239912,53
0.0,1.1739793507282883,1.1659508440539863,-18.82602064927171,8948.0,1019.0,1018.0,1.0,7929.0,333.0,685.0,0.32711198428290766,-0.26858606041256783,0.6837701699576713,19.700681401708767,0.9449643623114883,0.0005861102169835622,54
-2.220446049250313e-16,1.960623231498836,1.9492806283112036,-18.039376768501164,8738.0,971.0,970.0,1.0,7767.0,330.0,640.0,0.3402061855670103,-0.229362360824737,0.7416859210549942,19.198788689798413,0.9099612710876545,0.0009788428620349364,55
-2.220446049250313e-16,1.0726265625958185,1.0652911784500656,-18.92737343740418,8878.0,981.0,980.0,1.0,7897.0,314.0,666.0,0.32040816326530613,-0.28866736632652434,0.6984671757801781,20.00773508587532,0.9497838702793006,0.0005355097489196831,56
