investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
08_volume_regime,vol_Q2,12h,mae,26302,0.014178511304633342,0.0007391860958629428,0.004219857531280347,0.00947123712214304,0.018917002558199753,0.04221706684739551
08_volume_regime,vol_Q2,12h,future_vol,26302,0.02852467207482533,0.008931086238252174,0.016563254817200904,0.02399156944679344,0.035306589310372755,0.061569545114955146
08_volume_regime,vol_Q2_bull,12h,forward_return,14092,0.0012407656693163888,-0.029102528876904676,-0.007984760401921087,0.000673828117466968,0.010442477962352703,0.03449100369140827
08_volume_regime,vol_Q2_bull,12h,mfe,14092,0.014676512321366532,0.0008075932422345722,0.00463420371747747,0.010517128720928692,0.020037594582907436,0.04361401253650459
08_volume_regime,vol_Q2_bull,12h,mae,14092,0.014075632406403311,0.0007855196804843481,0.004200742752311165,0.009193926169851263,0.018501013984244585,0.041755015391900574
08_volume_regime,vol_Q2_bull,12h,future_vol,14092,0.028752144727769845,0.008960735154891592,0.01679642723076422,0.024479197559218874,0.03599432045099879,0.06167677490660102
08_volume_regime,vol_Q2_bear,12h,forward_return,12210,0.0012654143548753943,-0.027496569269084486,-0.007575920045182011,0.0011046753742867121,0.009505152544845352,0.03199293843239575
08_volume_regime,vol_Q2_bear,12h,mfe,12210,0.013964890167476863,0.0010822422739591552,0.0048738490994203465,0.010000928481492477,0.018131218680916217,0.04111718332568983
08_volume_regime,vol_Q2_bear,12h,mae,12210,0.014297247540002517,0.0007200253567558713,0.004242305369499655,0.009761919328620305,0.019337915324931315,0.04255082790624361
08_volume_regime,vol_Q2_bear,12h,future_vol,12210,0.02826213770747938,0.008914702777579088,0.016265886559902465,0.023575073041168716,0.0347274007180574,0.06145053600637774
08_volume_regime,vol_Q3,12h,forward_return,26312,0.0013745337251208957,-0.029024956283672153,-0.007951751565762194,0.0008541218245876614,0.010248027804459547,0.03378585342530594
08_volume_regime,vol_Q3,12h,mfe,26312,0.014604056351694868,0.0008822729811038488,0.004812033002373206,0.010403564248449348,0.019623998151638566,0.04320680252976928
08_volume_regime,vol_Q3,12h,mae,26312,0.014369979450197783,0.0007354182977671931,0.004201419349741553,0.00969936210222544,0.018965026037719213,0.042952827576768104
08_volume_regime,vol_Q3,12h,future_vol,26312,0.028974035801892648,0.0089080251881103,0.016915162974324945,0.024348576311895846,0.03599069187333742,0.06357797712785898
08_volume_regime,vol_Q3_bull,12h,forward_return,14277,0.0011466209940401541,-0.030822609138197666,-0.008189806927881849,0.0005166862792844729,0.010397040407841729,0.03509707675628655
08_volume_regime,vol_Q3_bull,12h,mfe,14277,0.014776973669128602,0.0008044620241401291,0.004699375157559249,0.010512721661693814,0.020053473249696863,0.04429561411348047
