investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
08_volume_regime,vol_Q1_bear,full,2h,12834,7.291258713324474e-05,0.0004314486544113594,0.00353044147964765,0.003476982038435661,0.008355997003491291,0.3521115786192925,0.1077606358111267,0.019479507558048934,0.1040205703599813,0.15194015895278168,0.7440392706872371,50.0,70.0,80.0,-9.442206617404914e-05,-0.01693768352455763
08_volume_regime,vol_Q1_bear,full,4h,12825,0.0002544731207683034,0.0006778655456487481,0.005011088484827786,0.005080683156654886,0.012207923139558728,0.5005847953216375,0.21216374269005847,0.05364522417153996,0.19828460038986354,0.2497465886939571,0.5519688109161793,75.0,120.0,150.0,-0.00012507254811722213,-0.027554584575838453
08_volume_regime,vol_Q1_bear,full,12h,12809,0.0009505508906063444,0.0011833919394104164,0.00942265463430303,0.00962190559855558,0.022843224623196517,0.7234756811616831,0.4756811616831915,0.2023577172300726,0.3922242173471778,0.4149426184713873,0.19283316418143492,130.0,270.0,410.0,-5.279721807149862e-05,-0.016167845532364056
08_volume_regime,vol_Q1_bear,thinned144,15m,16,5.497029582773871e-07,-0.0003857742978966572,0.0008378274703148003,0.0010850408596059236,0.0036032630619659027,0.125,0.0,0.0,0.0,0.0,1.0,10.0,,,-0.00047949372106070864,-0.009955595206715465
08_volume_regime,vol_Q1_bear,thinned144,30m,16,-0.0009539673316381753,-0.0014312471126941007,0.001370826723634866,0.0030142592926779566,0.004483367163967801,0.125,0.0,0.0,0.0,0.0,1.0,10.0,,,-0.0015971522875763422,-0.02550896260848406
08_volume_regime,vol_Q1_bear,thinned144,1h,16,-0.0022234025592114334,-0.0017541321110144392,0.002204712639157891,0.0040932547220348114,0.006593869655269863,0.125,0.0625,0.0,0.0625,0.125,0.8125,10.0,40.0,,-0.0020920958580267768,0.003526161022105047
08_volume_regime,vol_Q1_bear,thinned144,2h,16,-0.00028829937023435587,-0.002039749426716475,0.00425919844795164,0.007365329535622744,0.013015168831292244,0.4375,0.0625,0.0625,0.0625,0.375,0.5625,75.0,40.0,105.0,-0.0025656201473018836,-0.05845825388453893
08_volume_regime,vol_Q1_bear,thinned144,4h,16,-0.001209121816727693,-0.004032111710740249,0.005095909095544249,0.009290798577351378,0.018821246246781484,0.5,0.1875,0.1875,0.1875,0.4375,0.375,77.5,140.0,185.0,-0.00483504980450622,-0.03833918496570199
08_volume_regime,vol_Q1_bear,thinned144,12h,16,-0.0026444576079821536,-0.0029816775730301948,0.007380303674922484,0.01605258026853229,0.028960629145652055,0.5625,0.375,0.25,0.3125,0.5625,0.125,80.0,267.5,202.5,-0.00421786673051211,-0.09589206287954183
08_volume_regime,vol_Q2,full,15m,26337,2.9231584067026845e-05,1.2446068763827256e-05,0.0011277174657056133,0.0011265065140004804,0.0027132471270154297,0.05338497171279948,0.007745756919922542,0.0004936021566617307,0.007593879333257394,0.008884838819911152,0.9835212818468314,10.0,15.0,10.0,-9.111494249092189e-06,-0.002239447672323684
