timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
15m,VALIDATION,2024-09,30,9,21,0.3,-0.3272209818256465,1.1448692480708504,0.5724345422301111,-2.044524772126608,-2.044524772126608,17.95547522787337,17.95547522787339,17.95547522787337,2.330446287247522,0.11487998144478839
15m,VALIDATION,2024-10,23,10,13,0.43478260869565216,1.415279935076529,0.8247996160297395,0.412400161834804,0.17808015721198542,-1.8664446149146225,18.13355538508537,18.13355538508538,18.13355538508537,0.8681762670918687,0.046999680918263224
15m,VALIDATION,2024-11,45,15,30,0.3333333333333333,0.3359377608519864,1.5585124975143807,0.779256332741545,-2.0018310694039396,-3.8682756843185624,-2.0961010704922955e-13,16.131724315681446,16.045576536986353,2.725820349969208,0.1454011271090036
15m,VALIDATION,2024-12,33,9,24,0.2727272727272727,-0.721102974472922,0.9754241699428104,0.48771190469560777,-2.18423904911134,-6.052514733429902,-2.5934809855243657e-13,13.947485266570107,13.90531793239108,2.185402192711633,0.13592696217935793
1h,DEVELOPMENT,2024-01,28,6,22,0.21428571428571427,-1.617290698333864,1.0320637502002994,0.516031470777408,-3.1653859193115714,-3.1653859193115714,-6.394884621840902e-14,16.83461408068843,16.824726667096094,3.2119732063853483,0.16059866031926742
1h,DEVELOPMENT,2024-02,37,14,23,0.3783783783783784,1.096979612067537,1.2404477951751431,0.6202241718324076,-0.7636923549400134,-3.9290782742515846,-1.2789769243681803e-13,16.07092172574842,16.02245761093159,1.6853191921148856,0.09517395723131887
1h,DEVELOPMENT,2024-03,42,17,25,0.40476190476190477,1.7393300887795344,1.3677016630157242,0.6838512663403095,-0.3122228405764993,-4.241301114828084,-2.1671553440683056e-13,15.758698885171922,15.982138853681388,1.9389695954750117,0.11267765393319215
1h,DEVELOPMENT,2024-04,16,5,11,0.3125,-0.04532306877710998,0.497562171143407,0.248781074240912,-0.7916663141614289,-5.0329674289895125,14.96703257101048,14.967032571010492,14.96703257101048,1.2488609887090156,0.07768294548539263
1h,DEVELOPMENT,2024-05,26,9,17,0.34615384615384615,0.3299668056095292,0.7788056135425145,0.38940288926291916,-0.8382416971959045,-5.871209126185417,14.12879087381458,14.128790873814587,14.12879087381458,1.4743827599939667,0.09449249201452921
1h,DEVELOPMENT,2024-06,15,4,11,0.26666666666666666,-0.31668633667644985,0.41552264117398524,0.20776124141538227,-0.9399702192658175,-6.811179345451235,-3.1086244689504383e-13,13.188820654548769,13.142054913231858,1.5500736108951951,0.10680839161077728
1h,DEVELOPMENT,2024-07,29,10,19,0.3448275862068966,0.2673241439281457,0.7351263575439095,0.3675632456029478,-0.8353654592187117,-7.646544804669946,12.353455195330048,12.35345519533006,12.353455195330048,1.0711072766498635,0.08031788229319622
1h,DEVELOPMENT,2024-08,29,11,18,0.3793103448275862,0.619910457389592,0.7011521587567016,0.3505762343559229,-0.4318179357230324,-8.07836274039298,11.921637259607008,11.92163725960702,11.921637259607008,1.1025627998294052,0.08689062888240641
1h,VALIDATION,2024-09,25,10,15,0.4,1.2007300770373832,1.0020397019650447,0.5010201511649693,-0.3023297760926307,-0.3023297760926307,19.697670223907373,19.697670223907366,19.697670223907373,1.5719049312430116,0.07481359022721061
1h,VALIDATION,2024-10,23,9,14,0.391304347826087,0.9735919723988521,0.9088811969567268,0.45444084187628997,-0.38973006643416463,-0.6920598425267953,19.30794015747322,19.3079401574732,19.30794015747322,1.083616451702138,0.05314044790550985
1h,VALIDATION,2024-11,41,16,25,0.3902439024390244,1.6932696860028342,1.5954318973100987,0.7977163719723911,-0.6998785832796555,-1.3919384258064507,-1.9895196601282805e-13,18.608061574193542,18.49131596881422,2.593785041497817,0.12358027550605168
1h,VALIDATION,2024-12,28,9,19,0.32142857142857145,-0.006628838131083309,0.9806429649029778,0.4903214807942225,-1.4775932838282837,-2.8695317096347344,-2.5934809855243657e-13,17.13046829036526,17.00577301982189,1.7460481860209178,0.09440582246498132
