timeframe,period_role,trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
5m,DEVELOPMENT,176,CLOSED,BTCUSDT,LONG,2024-06-17 22:45:00+00:00,2024-06-17 22:50:00+00:00,66634.95,66668.267475,2024-06-18 00:45:00+00:00,66001.58480025,65968.58400784987,0.00020591406906334512,13.727934233180715,0.13727934233180716,66001.58480025,68001.6328245,SL,-0.13041880548364052,0.013727934233180715,0.013583859563403484,0.006860536848166989,0.006795327445424587,0.013655864293591577,-0.17138646357381632,-1.2484505000000037,0 days 01:55:00
5m,DEVELOPMENT,177,CLOSED,BTCUSDT,LONG,2024-06-18 06:05:00+00:00,2024-06-18 06:10:00+00:00,65689.99,65722.834995,2024-06-18 12:25:00+00:00,65065.60664505,65033.07384172748,0.0002062710621945414,13.556718984855227,0.13556718984855226,65065.60664505,67037.29169489999,SL,-0.1287922178421289,0.013556718984855227,0.013414441219109173,0.006774972006422792,0.006710575897502976,0.013485547903925768,-0.16924892595001906,-1.248450499999993,0 days 06:15:00
5m,DEVELOPMENT,178,CLOSED,BTCUSDT,LONG,2024-06-19 00:50:00+00:00,2024-06-19 00:55:00+00:00,65164.01,65196.592005,2024-06-21 03:55:00+00:00,64544.626084949996,64512.353771907525,0.00020534262186165498,13.387639138751313,0.13387639138751314,64544.626084949996,66500.5238451,SL,-0.12718591705530485,0.013387639138751312,0.013247135865990118,0.006690474332208848,0.006626881373681093,0.013317355705889941,-0.16713804776593622,-1.2484504999999981,2 days 03:00:00
5m,DEVELOPMENT,179,CLOSED,BTCUSDT,LONG,2024-06-21 22:00:00+00:00,2024-06-21 22:05:00+00:00,64129.99,64162.05499499999,2024-06-23 23:30:00+00:00,63520.43444504999,63488.67422782747,0.00020605119432493747,13.220668062062067,0.1322066806206207,63520.43444504999,65445.29609489999,SL,-0.12559965010484878,0.013220668062062067,0.013081917150750726,0.00660703051577178,0.006544230690720385,0.013151261206492165,-0.16505349652415371,-1.2484504999999964,2 days 01:25:00
5m,DEVELOPMENT,180,CLOSED,BTCUSDT,LONG,2024-06-25 01:40:00+00:00,2024-06-25 01:45:00+00:00,60382.0,60412.191,2024-06-25 14:20:00+00:00,61620.43482,61589.62460259,0.00021611166948316493,13.055779454145831,0.13055779454145833,59808.06909,61620.43482,TP,0.26764021649628333,0.013055779454145832,0.013310236595707134,0.006524627413365993,0.006658447521614068,0.013183074934980062,0.22809112551145033,1.747051000000008,0 days 12:35:00
5m,DEVELOPMENT,181,CLOSED,BTCUSDT,LONG,2024-06-25 19:50:00+00:00,2024-06-25 19:55:00+00:00,62028.01,62059.024005,2024-06-26 08:15:00+00:00,61438.43376495,61407.71454806753,0.0002140485276617433,13.283642716395033,0.13283642716395033,61438.43376495,63300.2044851,SL,-0.12619792505680658,0.013283642716395034,0.01314423088608647,0.00663850210714336,0.00657540314461436,0.01321390525175772,-0.16583970391104577,-1.248450499999988,0 days 12:20:00
5m,DEVELOPMENT,182,CLOSED,BTCUSDT,LONG,2024-06-26 14:45:00+00:00,2024-06-26 14:50:00+00:00,61824.0,61854.912,2024-06-26 15:10:00+00:00,61236.36287999999,61205.744698559996,0.00021207642630732173,13.11796868651387,0.1311796868651387,61236.36287999999,63092.010239999996,SL,-0.12462398037512819,0.013117968686513869,0.012980295605148908,0.006555706490011214,0.006493394499823727,0.01304910098983494,-0.16377134565662593,-1.2484505000000006,0 days 00:20:00
5m,DEVELOPMENT,183,CLOSED,BTCUSDT,LONG,2024-06-27 02:35:00+00:00,2024-06-27 02:40:00+00:00,61086.01,61116.553005,2024-06-27 14:10:00+00:00,62338.8840651,62307.714623067455,0.0002119615768830313,12.954360948595165,0.12954360948595164,60505.38747495,62338.8840651,TP,0.265561162474449,0.012954360948595164,0.013206841443483287,0.0064739435025462115,0.006606724083782238,0.013080667586328448,0.22631929249604207,1.747051000000006,0 days 11:30:00
5m,DEVELOPMENT,184,CLOSED,BTCUSDT,LONG,2024-06-27 16:40:00+00:00,2024-06-27 16:45:00+00:00,61790.0,61820.895,2024-06-28 14:15:00+00:00,61202.68605,61172.084706975,0.00021320387140774837,13.180454147891913,0.13180454147891912,61202.68605,63057.3129,SL,-0.12521760787177746,0.013180454147891913,0.01304212528160979,0.006586933607141703,0.0065243248032054325,0.013111258410347135,-0.1645514457116263,-1.2484504999999924,0 days 21:30:00
5m,DEVELOPMENT,185,CLOSED,BTCUSDT,LONG,2024-06-29 08:55:00+00:00,2024-06-29 09:00:00+00:00,60982.03,61012.521015,2024-06-30 20:20:00+00:00,62232.7714353,62201.655049582354,0.000213334359451217,13.016067089238941,0.13016067089238942,60402.39580485,62232.7714353,TP,0.26682612293882096,0.013016067089238942,0.013269750236808209,0.006504781154042365,0.006638194215510458,0.013142975369552824,0.22739733024322098,1.7470510000000088,1 days 11:20:00
