timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
5m,VALIDATION,2024-11,66,24,42,0.36363636363636365,1.725046389082436,2.4139178751908097,1.2069593688568547,-1.8958308549652285,-3.9819015340242143,16.018098465975815,16.018098465975786,16.018098465975815,4.751578090803969,0.2349743234511085
5m,VALIDATION,2024-12,46,13,33,0.2826086956521739,-0.7277501689470356,1.3559119949302245,0.6779558155274888,-2.7616179794047486,-6.7435195134289625,13.256480486571068,13.256480486571038,13.256480486571068,2.90054032495698,0.18045138855582923
15m,DEVELOPMENT,2024-01,42,14,28,0.3333333333333333,0.3740094121606937,1.628394185781059,0.8141971863927997,-2.068581960013165,-2.068581960013165,17.93141803998682,17.93141803998682,17.93141803998682,3.0974271811738134,0.14729421176475133
15m,DEVELOPMENT,2024-02,53,23,30,0.4339622641509434,3.2749574224228373,1.9241923294735737,0.9620969834760426,0.3886681094732213,-1.6799138505399438,18.32008614946003,18.32008614946005,18.32008614946003,1.9536597549389327,0.1037562288765759
15m,DEVELOPMENT,2024-03,61,17,44,0.2786885245901639,-1.2965174330595421,1.9137724735392412,0.9568859126401633,-4.167175819238947,-5.8470896697788906,-3.3217872896784684e-13,14.152910330221106,14.319412933357178,4.427641253039621,0.24051825052792658
15m,DEVELOPMENT,2024-04,43,10,33,0.23255813953488372,-1.4038832451197374,1.08576048383781,0.5428798909480304,-3.032523619905578,-8.879613289684468,11.120386710315495,11.120386710315532,11.120386710315495,3.285881500935247,0.22988046919734337
15m,DEVELOPMENT,2024-05,42,17,25,0.40476190476190477,1.2358947635535964,0.9679594888225951,0.4839800533849388,-0.21604477865393742,-9.095658068338405,10.904341931661566,10.904341931661595,10.904341931661566,1.0697116904182788,0.08933580257614332
15m,DEVELOPMENT,2024-06,18,4,14,0.2222222222222222,-0.5372019255082094,0.37624938771480476,0.18812455955689864,-1.1015758727799128,-10.197233941118318,-4.707345624410664e-13,9.802766058881684,9.761557136751694,1.495765930424792,0.135281006923911
15m,DEVELOPMENT,2024-07,38,16,22,0.42105263157894735,1.1101825299607768,0.7353499237683094,0.3676752394297399,0.00715736676272731,-10.19007657435559,9.809923425644383,9.80992342564441,9.809923425644383,0.9022075921608437,0.09108144952983221
15m,DEVELOPMENT,2024-08,49,15,34,0.30612244897959184,-0.19731261857736487,0.8752908967908145,0.43764539906720173,-1.5102489144353812,-11.700325488790972,8.299674511209007,8.299674511209032,8.299674511209007,1.6547977346226528,0.1684030726897042
15m,VALIDATION,2024-09,32,11,21,0.34375,0.4609416399048666,1.2488273538186137,0.6244137921446437,-1.4122995060583907,-1.4122995060583907,18.587700493941597,18.587700493941608,18.587700493941597,1.9878490581743833,0.09768750728150971
15m,VALIDATION,2024-10,25,13,12,0.52,2.8903261335046353,0.9707451887587604,0.4853733169608734,1.4342076277850015,0.02190812172661083,20.021908121726597,20.02190812172661,20.021908121726597,0.7878437241331362,0.037859352190683815
15m,VALIDATION,2024-11,61,23,38,0.3770491803278688,2.0901176889855084,2.406828544000444,1.2034147945295088,-1.5201256495444442,-1.4982175278178333,18.501782472182178,18.50178247218217,18.501782472182178,3.335787801503507,0.1546725173865657
15m,VALIDATION,2024-12,41,13,28,0.3170731707317073,-0.04806461922029276,1.4334039551527964,0.7167019655601657,-2.1981705399332547,-3.696388067751088,-3.268496584496461e-13,16.303611932248913,16.16469545364558,2.743631244259703,0.14696196108919324
1h,DEVELOPMENT,2024-01,29,6,23,0.20689655172413793,-1.8013676582184837,1.0493203821577874,0.5246597407369221,-3.375347781113193,-3.375347781113193,16.624652218886787,16.6246522188868,16.624652218886787,3.375347781113213,0.16876738905566063
1h,DEVELOPMENT,2024-02,48,19,29,0.3958333333333333,1.78699120360134,1.5748356444579426,0.7874182689766815,-0.5752627098332843,-3.9506104909464774,16.049389509053512,16.049389509053515,16.049389509053512,1.4299127268227192,0.08410470804340442
