rank,group,strategy_id,family,timeframe,robustness_score,dev_net_pnl,val_net_pnl,dev_avg_R,val_avg_R,val_profit_factor,val_max_drawdown_pct,dev_closed_trades,val_closed_trades,val_dev_avg_R_ratio,val_dev_pf_ratio,flags,gate_failures,beat_BASELINE_A,beat_RANDOM
41,GROUP 3,D02,MOMENTUM,1h,,-7.306280875458263,-4.797699017778284,-0.19933476728110147,-0.22434742307691785,0.729974283457463,0.278210223729356,217,117,1.1254806481427477,0.992021970390295,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
42,GROUP 3,D02,MOMENTUM,5m,,-7.3480036611353965,-4.432163906966091,-0.1470118041237057,-0.18705233070865504,0.764037214039684,0.2508411719452412,291,127,1.2723626638256647,0.93298534669117,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
43,GROUP 3,D03,MOMENTUM,15m,,-9.046410882205377,-3.2023392213192716,-0.18274323557691688,-0.09923294339622062,0.85955089275791,0.20003442414334902,312,159,0.5430184219018784,1.1107946087053806,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
44,GROUP 3,D03,MOMENTUM,1h,,-9.130120107034251,-3.4360369705423977,-0.376342468354426,-0.21428926785713764,0.7359754299557035,0.20881738525028815,158,84,0.5693996449407555,1.349725082799393,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
45,GROUP 3,D03,MOMENTUM,5m,,-12.608469763629845,-7.027951592886298,-0.21206047209820916,-0.20524102238805386,0.7469549648937792,0.35672351154332177,448,201,0.9678419573309396,0.9732324170923716,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
46,GROUP 3,D04,MOMENTUM,15m,,-12.239266241725137,-6.2348792490062825,-0.24723668342390753,-0.19508733516483018,0.7629292751302759,0.34351153131465695,368,182,0.789071154260458,1.0794185756558594,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
47,GROUP 3,D04,MOMENTUM,1h,,-10.127697121546806,-6.100012965649766,-0.3140738853210952,-0.30115515384614877,0.6439758800884818,0.32251680643095976,218,117,0.9588672217629973,1.0159845010689805,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
48,GROUP 3,D04,MOMENTUM,5m,,-14.562084120569851,-7.3062808754582385,-0.24994999999999415,-0.19933476728110006,0.7497072491219667,0.37026266975142197,501,217,0.7974985688381865,1.0308752465096345,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
49,GROUP 3,E01,VOLATILITY / REGIME,15m,,-5.866052087572587,-3.2493146765432197,-0.19645890178570888,-0.17637627894736338,0.7750429084282336,0.191244533814967,168,95,0.897776976987019,1.0333319608209564,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
50,GROUP 3,E01,VOLATILITY / REGIME,1h,,-0.9514655015986975,-2.701692819422971,-0.05024989999999509,-0.2691519326923033,0.6749732865095108,0.16823040522214322,80,52,5.356268026251388,0.7308047068652032,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
51,GROUP 3,E01,VOLATILITY / REGIME,5m,,-10.116882940887725,-5.5367653794848,-0.24631908909090364,-0.2214214142857083,0.7333989037768642,0.30294401070516347,275,140,0.8989210503453636,1.023358920493394,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
52,GROUP 3,E02,VOLATILITY / REGIME,15m,,-6.85609394146499,-1.5679531785562109,-0.2699200099999939,-0.08549109411764216,0.875743051820061,0.1258693635665842,150,85,0.3167275153762928,1.2997464133579306,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
53,GROUP 3,E02,VOLATILITY / REGIME,1h,,-0.03899343717726614,-2.013872729366156,0.007727548387101413,-0.27693649999999587,0.6584407401498599,0.127069148981092,62,37,-35.837562720700625,0.6611972966457335,,dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
54,GROUP 3,E02,VOLATILITY / REGIME,5m,,-10.365387383734294,-3.3449854581103358,-0.2731709418604603,-0.13721607258063956,0.8213237131236096,0.2557497927789031,258,124,0.502308450694333,1.1888945777759556,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
55,GROUP 3,E03,VOLATILITY / REGIME,15m,,-12.784657610058527,-8.92829272933318,-0.23326860739856303,-0.26381806249999457,0.693391351473585,0.4643916827606353,419,216,1.1309625647536647,0.9662409403202842,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,False
56,GROUP 3,E03,VOLATILITY / REGIME,1h,,-10.632794707682958,-3.3104639566171263,-0.27632548490565517,-0.11015992999999409,0.8534004890130333,0.23648106636637042,265,150,0.39866004410561556,1.247500093900449,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
57,GROUP 3,E03,VOLATILITY / REGIME,5m,,-15.041240832351772,-8.976759074967633,-0.25565571714285185,-0.24566459012874992,0.7089200948000244,0.45313534648834763,525,233,0.960919602636857,1.003966524654764,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,False
58,GROUP 3,E04,VOLATILITY / REGIME,15m,,-8.62333330223923,-5.678801237336118,-0.22498748749999464,-0.27555257692307195,0.6670885114846492,0.3065860173769017,240,117,1.2247462291567592,0.9184028849871622,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
59,GROUP 3,E04,VOLATILITY / REGIME,1h,,-3.4077603977077366,-3.9838078801645933,-0.19508733516482943,-0.42615597058822935,0.53654612035278,0.2130622327636317,91,51,2.18443688427119,0.7221684851629208,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
60,GROUP 3,E04,VOLATILITY / REGIME,5m,,-13.152133074055804,-5.368385561561784,-0.26001045843828163,-0.1735940794117588,0.7810325445140063,0.27769404029773187,397,170,0.6676426804307359,1.104362128883048,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
61,GROUP 3,F01,RANGE / MARKET STRUCTURE,15m,,-7.986459259873309,-2.8298028021153647,-0.3795264007633532,-0.19597699999999366,0.7493755117258056,0.17290855243169706,131,74,0.5163725095429963,1.3263146136142647,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
62,GROUP 3,F01,RANGE / MARKET STRUCTURE,1h,,-4.0597369143919435,0.29456932160152804,-0.4537256122448928,0.06957016000000593,1.084029607214398,0.06666737747851688,49,25,-0.15333090776117858,2.1036445005620084,VAL_ONE_MONTH_CONCENTRATION,dev_avg_R<=0|dev_net_pnl<=0,True,True
