timeframe,period_role,period,trades_closed,tp,sl,win_rate,gross_pnl,fees,slippage,net_pnl,cumulative_net_pnl,ending_cash,ending_realized_equity,ending_mtm_equity,max_drawdown,max_drawdown_pct
15m,DEVELOPMENT,2024-06,23,4,19,0.17391304347826086,-1.3707739533919514,0.6408747488902096,0.32043703175157656,-2.3320857340337375,-7.354125171799517,-3.6770586575585185e-13,12.645874828200496,12.592714029714575,2.787044749793365,0.18431627707471776
15m,DEVELOPMENT,2024-07,28,10,18,0.35714285714285715,0.36806472212544894,0.6796298412711872,0.3398150126517365,-0.651380131797475,-8.005505303596992,11.99449469640299,11.99449469640302,11.99449469640299,1.153486312191486,0.09026838265449784
15m,DEVELOPMENT,2024-08,30,8,22,0.26666666666666666,-0.5707399820324313,0.6480854645664594,0.32404258959819826,-1.542868036197089,-9.54837333979408,10.451626660205893,10.451626660205934,10.451626660205893,1.889141008170034,0.15750067476677992
15m,VALIDATION,2024-09,28,8,20,0.2857142857142857,-0.5255310193064471,1.0694110717939043,0.5347054045141347,-2.129647495614486,-2.129647495614486,17.870352504385494,17.870352504385522,17.870352504385494,2.478708634475641,0.12180948386567016
15m,VALIDATION,2024-10,22,10,12,0.45454545454545453,1.577299527615176,0.781420205392918,0.3907104970212896,0.40516882520096864,-1.7244786704135175,18.275521329586468,18.275521329586496,18.275521329586468,1.162412069888866,0.06351964579486126
15m,VALIDATION,2024-11,41,15,26,0.36585365853658536,1.079669503408812,1.5067705475482234,0.7533855436914078,-1.1804865878308193,-2.904965258244337,-1.9539925233402755e-13,17.09503474175568,16.955420391583218,3.0518496452544426,0.15370656875390562
15m,VALIDATION,2024-12,33,11,22,0.3333333333333333,0.24746923456670597,1.1018591055318765,0.550929614633184,-1.4053194855983544,-4.310284743842692,15.68971525615728,15.689715256157328,15.68971525615728,1.556529882553109,0.09025326208888045
1h,DEVELOPMENT,2024-01,10,4,6,0.4,0.4803134166727082,0.4011987280963802,0.20059948412651876,-0.12148479555019068,-0.12148479555019068,19.878515204449815,19.87851520444981,19.878515204449815,0.7689432310953102,0.03758381181140628
1h,DEVELOPMENT,2024-02,23,9,14,0.391304347826087,0.9667717212633411,0.9067197806701257,0.45336013202794384,-0.3933081914347285,-0.5147929869849192,19.48520701301508,19.485207013015078,19.48520701301508,1.980247256381631,0.09533883953715915
1h,DEVELOPMENT,2024-03,13,6,7,0.46153846153846156,1.077829398842904,0.509543403210977,0.2547719710628144,0.3135140245691126,-0.20127896241580656,-1.2789769243681803e-13,19.798721037584194,19.88718654540957,0.875140507846826,0.04362876221582017
1h,DEVELOPMENT,2024-04,8,3,5,0.375,0.2581902157522785,0.31449554494079746,0.1572478370179259,-0.21355316620644468,-0.4148321286222513,19.585167871377745,19.58516787137775,19.585167871377745,0.6173682842170152,0.031098995251708457
1h,DEVELOPMENT,2024-05,13,4,9,0.3076923076923077,-0.07347346244212294,0.5098631341598567,0.25493154871153395,-0.8382681453135136,-1.2531002739357648,18.746899726064246,18.746899726064232,18.746899726064246,1.5278760677621825,0.07535846922792673
1h,DEVELOPMENT,2024-06,4,2,2,0.5,0.40675693980046845,0.1518236220341256,0.07591191270628925,0.17902140506005362,-1.0740788688757112,-1.7053025658242404e-13,18.925921131124287,19.11582346943535,0.30690014579376523,0.016047834270430935
1h,DEVELOPMENT,2024-07,15,4,11,0.26666666666666666,-0.41615856841533283,0.5619724258203445,0.2809861088704987,-1.2591171031061759,-2.333195971981887,17.66680402801813,17.666804028018117,17.66680402801813,1.65238874737517,0.08553094151427508
1h,DEVELOPMENT,2024-08,10,3,7,0.3,-0.10237214652674556,0.3475972792280786,0.17379861402098065,-0.6237680397758048,-2.956964011757692,17.043035988242327,17.043035988242316,17.043035988242327,0.8732722544564311,0.04896255821289444
1h,VALIDATION,2024-09,11,3,8,0.2727272727272727,-0.3059994330283117,0.42718748100105486,0.2135936640006336,-0.94678057803,-0.94678057803,19.053219421969985,19.05321942197,19.053219421969985,1.1270061051368145,0.056350305256840726
1h,VALIDATION,2024-10,13,5,8,0.38461538461538464,0.4667647207195603,0.48640438110848505,0.24320230724539488,-0.26284196763431966,-1.2096225456643197,18.790377454335662,18.790377454335676,18.790377454335662,1.1289103001064085,0.05896947778669655
1h,VALIDATION,2024-11,23,7,16,0.30434782608695654,-0.15155973134358772,0.8584886584220516,0.42924429132105124,-1.4392926810866906,-2.6489152267510105,17.351084773248964,17.35108477324898,17.351084773248964,2.47419866731148,0.12480016614791646
1h,VALIDATION,2024-12,11,4,7,0.36363636363636365,0.25615627797130136,0.3844264526732247,0.19221329037565843,-0.32048346507758174,-2.969398691828592,17.03060130817138,17.0306013081714,17.03060130817138,0.8767917763416548,0.04896255821289455
