investigation,regime,month,horizon,n,median_forward_return,mean_forward_return,mfe_median,mae_median,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,future_vol_median
03_trend_regime,ALL,2024-12,12h,8784,0.0006071651724317562,-0.0001810362299560422,0.010848320711293158,0.010685975687733273,0.44364754098360654,0.41928506375227687,0.13706739526411657,0.027823828688815153
03_trend_regime,EMA20>EMA50,2024-01,1h,4530,-0.0002803109752479438,-3.450293131502721e-06,0.0022069098695974843,0.0025028632666355133,0.07350993377483443,0.054304635761589407,0.8721854304635761,0.005688831796321717
03_trend_regime,EMA20>EMA50,2024-01,4h,4530,-0.0006064390385274177,-0.00029149696598666926,0.004294433804095221,0.005381691481981754,0.22097130242825608,0.23002207505518762,0.5490066225165563,0.012239597928934302
03_trend_regime,EMA20>EMA50,2024-01,12h,4530,-0.0008534819860508414,0.0007388471575858628,0.009849185149827466,0.01094385612095472,0.3766004415011038,0.4498896247240618,0.17350993377483442,0.02501429000515689
03_trend_regime,EMA20>EMA50,2024-02,1h,4859,-3.195968189606546e-05,0.0005445692269341811,0.0023630588052994117,0.002265095222631852,0.08293887631199835,0.051656719489606914,0.8654044041983947,0.005443721193498845
03_trend_regime,EMA20>EMA50,2024-02,4h,4859,0.0004930514750352,0.0022764483070580087,0.005661438413052666,0.004404468325359789,0.29018316526034166,0.1444741716402552,0.5653426630994032,0.01176778804955366
03_trend_regime,EMA20>EMA50,2024-02,12h,4859,0.0030030088177199765,0.006469375885141224,0.011310883710594188,0.007013395263524402,0.5050421897509776,0.2885367359539,0.20642107429512246,0.021201760412185727
03_trend_regime,EMA20>EMA50,2024-03,1h,5017,8.555451218783539e-05,0.0002238687691350353,0.0032855435638219355,0.0031622203854002606,0.1201913494119992,0.0964719952162647,0.7833366553717361,0.0077797205151029164
03_trend_regime,EMA20>EMA50,2024-03,4h,5017,0.0010257645784350622,0.000343384055722519,0.007625730797953256,0.0062577951994298164,0.36296591588598764,0.2896153079529599,0.34741877616105243,0.016186796795029105
03_trend_regime,EMA20>EMA50,2024-03,12h,5017,0.0014799415439537,0.0022260613589905275,0.013340580608399044,0.012481137072236748,0.5086705202312138,0.40163444289415984,0.08969503687462627,0.03134420628088052
03_trend_regime,EMA20>EMA50,2024-04,1h,4191,-0.00033517839254504356,-6.792835254250982e-05,0.0026211099888320266,0.0028726942848502635,0.07468384633738964,0.07730851825340014,0.8480076354092102,0.006578466475508597
03_trend_regime,EMA20>EMA50,2024-04,4h,4191,-0.0010939575791117928,-0.0006694828872175814,0.005425538122614704,0.006249124608992074,0.2481507993319017,0.3111429253161537,0.4407062753519446,0.013988937646560881
03_trend_regime,EMA20>EMA50,2024-04,12h,4191,-0.0016581763157487162,-0.004027995104558396,0.00964537616640282,0.012192826668117607,0.39775709854450014,0.5091863517060368,0.09305654974946313,0.026330759364515337
03_trend_regime,EMA20>EMA50,2024-05,1h,4893,-0.0002546346109338904,0.00011459981705220072,0.0022529927007299833,0.002268439687686752,0.06642141835274883,0.04455344369507459,0.8890251379521765,0.0055307040762308185
03_trend_regime,EMA20>EMA50,2024-05,4h,4893,-7.136110338668011e-05,0.00035378509038211446,0.005023148089377427,0.004895044755027,0.24954015941140403,0.20784794604537093,0.542611894543225,0.012535997772024614
03_trend_regime,EMA20>EMA50,2024-05,12h,4893,0.0008987075928916788,0.002062362046319534,0.009909015866773174,0.007943541169476265,0.42673206621704474,0.3842223584712855,0.18904557531166974,0.02293409442267442
03_trend_regime,EMA20>EMA50,2024-06,1h,4235,-0.00014065112690042625,-8.833953020679935e-06,0.001451202836282306,0.0015826461073460418,0.029043683589138135,0.022668240850059033,0.9482880755608029,0.0038572651062197664
03_trend_regime,EMA20>EMA50,2024-06,4h,4235,-7.642255120299257e-05,-4.619332909822941e-05,0.0033455788445060364,0.003123437187298239,0.1487603305785124,0.11381345926800472,0.7374262101534829,0.008154886588066434
03_trend_regime,EMA20>EMA50,2024-06,12h,4235,0.00037411428658651324,-0.0004932595044379629,0.006796144907373236,0.005890246669475907,0.30271546635183,0.24557260920897284,0.45171192443919717,0.016536787077436103
03_trend_regime,EMA20>EMA50,2024-07,1h,4902,-8.865334696805949e-05,0.0001654987703462205,0.002792130750733146,0.0024445910725865994,0.08057935536515708,0.05813953488372093,0.861281109751122,0.006362880888132347
03_trend_regime,EMA20>EMA50,2024-07,4h,4902,0.0006643341795853352,0.0005312725073593326,0.006335349990498118,0.00519409704716417,0.2968176254589963,0.2470420236638107,0.45614035087719296,0.013888988304017632
03_trend_regime,EMA20>EMA50,2024-07,12h,4902,0.0017825903076413852,7.084870497154286e-05,0.012080223700736581,0.010642258873278687,0.5038759689922481,0.42758057935536514,0.06854345165238677,0.02711516700101551
03_trend_regime,EMA20>EMA50,2024-08,1h,4522,-0.00011356798451783723,-4.0781928577733214e-05,0.002690111316033139,0.0026962125912310397,0.08624502432551968,0.09155241043785936,0.8222025652366209,0.006626589558292066
03_trend_regime,EMA20>EMA50,2024-08,4h,4522,-0.0006569222478385317,-0.0010618365757764788,0.005805708721260405,0.005885777786472368,0.2501105705440071,0.2963290579389651,0.4535603715170279,0.014264450903051812
03_trend_regime,EMA20>EMA50,2024-08,12h,4522,-0.0005386914711664748,-0.0012085695155759464,0.010653886522103861,0.012660134454993366,0.4082264484741265,0.4374170720919947,0.1543564794338788,0.03091341314503613
03_trend_regime,EMA20>EMA50,2024-09,1h,4471,-0.00013143655568526036,8.999967981215628e-05,0.002124560952625698,0.0022149909584023852,0.06307313800044732,0.04294341310668754,0.8939834488928652,0.005385643637002253
03_trend_regime,EMA20>EMA50,2024-09,4h,4471,-3.173494970010182e-05,0.00023968642036865603,0.004588803349279802,0.00491336706086376,0.23507045403712815,0.21046745694475508,0.5544620890181168,0.011581359816653935
03_trend_regime,EMA20>EMA50,2024-09,12h,4471,0.0007008475217984422,0.0015654353699138181,0.009411496658340734,0.008521677877140199,0.40438380675464103,0.40662044285394766,0.1889957503914113,0.021932837421359354
03_trend_regime,EMA20>EMA50,2024-10,1h,4930,-6.670393767604921e-05,3.547146662405595e-05,0.0018765210440244706,0.0019377762020113543,0.03914807302231237,0.027991886409736308,0.9328600405679514,0.004651409813948807
03_trend_regime,EMA20>EMA50,2024-10,4h,4930,0.00012505973010357163,0.0004340587033238976,0.004394895895560635,0.0038710635712105312,0.18884381338742393,0.14807302231237324,0.6630831643002029,0.009979746581070469
03_trend_regime,EMA20>EMA50,2024-10,12h,4930,0.0017401810254896732,0.0023400231073906247,0.009811415212496066,0.006724647933498029,0.4482758620689655,0.3125760649087221,0.23914807302231236,0.019693786649227732
03_trend_regime,EMA20>EMA50,2024-11,1h,4880,0.0001714262902268171,0.0004914245373304515,0.0028691783163897755,0.0027535056597099428,0.0944672131147541,0.07971311475409835,0.8258196721311475,0.006640045097362329
03_trend_regime,EMA20>EMA50,2024-11,4h,4880,0.0004308401257017147,0.0016360869244504174,0.006648114874569511,0.005472479977029765,0.32581967213114754,0.2331967213114754,0.44098360655737706,0.014662909971125453
03_trend_regime,EMA20>EMA50,2024-11,12h,4880,0.0018411195368479571,0.005060738033695984,0.013584299923433352,0.010532523290090245,0.49959016393442623,0.4055327868852459,0.09487704918032787,0.02787933206992902
03_trend_regime,EMA20>EMA50,2024-12,1h,4607,-0.00021039528441202382,-0.0002098113307113399,0.00232804232804229,0.002591876208897448,0.05361406555242023,0.07119600607770783,0.875189928369872,0.005923207557404399
03_trend_regime,EMA20>EMA50,2024-12,4h,4607,-0.00024347439339389432,-0.0007986681358997253,0.005459427102917136,0.005544390856062287,0.1951378337312785,0.2706750596917734,0.5341871065769481,0.012276103523448179
03_trend_regime,EMA20>EMA50,2024-12,12h,4548,-0.0009560454633687487,-0.0017602748261632117,0.010415914359978573,0.011214398310690377,0.43953386103781883,0.43733509234828494,0.12313104661389622,0.02779957851309521
03_trend_regime,EMA20<=EMA50,2024-01,1h,4349,0.00047093531166142455,4.697349624187561e-05,0.002703632157164737,0.002681412179320053,0.049206714187169466,0.0862267187859278,0.8645665670269027,0.006365505067638889
03_trend_regime,EMA20<=EMA50,2024-01,4h,4349,0.0010136976966061972,0.00039002728661446235,0.005686050453934888,0.005709092239881586,0.23522648884801103,0.2800643826166935,0.48470912853529546,0.01355436235480925
03_trend_regime,EMA20<=EMA50,2024-01,12h,4349,0.000948414817504073,-0.0006759683244727832,0.009535584479536618,0.011265943725218608,0.3768682455736951,0.47689123936537137,0.14624051506093355,0.023375609747594468
03_trend_regime,EMA20<=EMA50,2024-02,1h,3493,0.000475958417683886,0.000541631647169323,0.0021526924012746917,0.0017172524881072793,0.035213283710277696,0.03922129974234183,0.9255654165473804,0.004638143010311777
03_trend_regime,EMA20<=EMA50,2024-02,4h,3493,0.0012412027607837661,0.0020548636365936095,0.0052198527625506586,0.003826359755470188,0.19295734325794445,0.13884912682507872,0.6681935299169768,0.010200497080418189
03_trend_regime,EMA20<=EMA50,2024-02,12h,3493,0.0023017723781930677,0.0069793940987291775,0.009766596703980168,0.0067110222290592825,0.4380188949327226,0.28141998282278846,0.280561122244489,0.019681621009279615
03_trend_regime,EMA20<=EMA50,2024-03,1h,3911,0.0005377720516295259,0.00021539708511980737,0.0035420309582288034,0.0032520489437839473,0.11352595244183074,0.1756583993863462,0.7108156481718231,0.008191661658500844
03_trend_regime,EMA20<=EMA50,2024-03,4h,3911,0.00144228632896648,0.0015816508782887293,0.0070467044452862115,0.005994885416488849,0.3198670416773204,0.3114293019688059,0.3687036563538737,0.01659627275102321
03_trend_regime,EMA20<=EMA50,2024-03,12h,3911,0.002062299707752846,0.0025653616373144407,0.014386317618919175,0.01212780554656756,0.4886218358476093,0.3863462030171312,0.12503196113525952,0.03282906052046428
03_trend_regime,EMA20<=EMA50,2024-04,1h,4449,9.475784697920986e-05,-0.0003306977809380804,0.003096120802561053,0.003247908659140375,0.09260507979321196,0.13778377163407507,0.769611148572713,0.0077077295453876395
03_trend_regime,EMA20<=EMA50,2024-04,4h,4449,0.0001694859595122722,-0.0009914722101720674,0.006411590981088677,0.007495552389069404,0.25578781748707574,0.37761294672960216,0.3665992357833221,0.01725173598933848
03_trend_regime,EMA20<=EMA50,2024-04,12h,4449,0.00042214831102471706,-0.001339375259608805,0.01057196501616886,0.01564267147697096,0.39829175095527086,0.5410204540346145,0.060687795010114634,0.031090387143575145
03_trend_regime,EMA20<=EMA50,2024-05,1h,4035,0.0005144178261364818,0.0002208594877548308,0.002645029863477699,0.0022246669259758933,0.03816604708798017,0.0691449814126394,0.8926889714993804,0.005696045550771455
03_trend_regime,EMA20<=EMA50,2024-05,4h,4035,0.0014068684492125616,0.0010760914168689761,0.0056779711545258404,0.004628277036086148,0.21387856257744733,0.22428748451053285,0.5618339529120199,0.012138235481608998
03_trend_regime,EMA20<=EMA50,2024-05,12h,4035,0.0015216786475842348,0.0027138456118551927,0.010120171872838979,0.008358610244769582,0.4646840148698885,0.3516728624535316,0.18364312267657992,0.020262614606129905
03_trend_regime,EMA20<=EMA50,2024-06,1h,4405,9.686718876666944e-05,-0.00017994319723006126,0.0017076588522639824,0.0017617780023774232,0.02474460839954597,0.05266742338251986,0.9225879682179342,0.004419138229250249
03_trend_regime,EMA20<=EMA50,2024-06,4h,4405,-6.0565683483670973e-05,-0.0006234896026554906,0.0033101496935106223,0.0040168779178900715,0.14483541430192962,0.19114642451759364,0.6640181611804767,0.009540644566627622
03_trend_regime,EMA20<=EMA50,2024-06,12h,4405,-8.595207706729724e-05,-0.0016065464562278996,0.006737599396770877,0.0069630872964968615,0.31532349602724175,0.3550510783200908,0.32962542565266745,0.018490696981741335
03_trend_regime,EMA20<=EMA50,2024-07,1h,4026,0.00038614348390719755,-8.134799481070416e-05,0.0027139690835141783,0.002755025393519739,0.050919026328862395,0.09090909090909091,0.8581718827620467,0.006536847763140754
03_trend_regime,EMA20<=EMA50,2024-07,4h,4026,0.0005643296712987134,-0.0003369483311805028,0.005548550102032923,0.00632826755287802,0.22329855936413315,0.3075012419274714,0.4692001987083954,0.01380063819438671
03_trend_regime,EMA20<=EMA50,2024-07,12h,4026,9.857440221394675e-05,0.0009504231058849115,0.010425827543475541,0.012170602172600742,0.43293591654247393,0.4853452558370591,0.08171882762046696,0.024694218971131894
03_trend_regime,EMA20<=EMA50,2024-08,1h,4406,0.00021811115351721977,-0.00015530630122282288,0.002980468270270764,0.0032110837238699674,0.0817067635043123,0.13685882886972311,0.7814344076259646,0.00726542564018374
03_trend_regime,EMA20<=EMA50,2024-08,4h,4406,0.0008497104454102677,0.0003267081627909098,0.006002951353430319,0.007037462273637607,0.22605537902859738,0.34226055379028597,0.4316840671811167,0.014947055880503813
03_trend_regime,EMA20<=EMA50,2024-08,12h,4406,0.0012561413297536017,-0.0012710538103695799,0.011563592937362754,0.0133124048817585,0.38447571493418065,0.525192918747163,0.09033136631865638,0.02773583894635341
03_trend_regime,EMA20<=EMA50,2024-09,1h,4169,0.00018732988793268568,0.0001305602895164434,0.0023383284445313013,0.0023842048562954243,0.03334132885584073,0.04893259774526265,0.9177260733988967,0.005509685980863024
03_trend_regime,EMA20<=EMA50,2024-09,4h,4169,0.000519823037226752,0.0007167919230136,0.004887132266598426,0.00509084686921113,0.19045334612616935,0.2010074358359319,0.6085392180378988,0.011434422218633212
03_trend_regime,EMA20<=EMA50,2024-09,12h,4169,0.001006404391582727,0.0016077959807721737,0.00875976373034626,0.00917688673580197,0.37754857279923243,0.3806668265771168,0.24178460062365076,0.021656445511557557
03_trend_regime,EMA20<=EMA50,2024-10,1h,3998,0.0003507821504223907,0.0002904469795390112,0.0022190701510377275,0.0019855797180667323,0.03176588294147074,0.05127563781890945,0.9169584792396198,0.0051345790153829295
03_trend_regime,EMA20<=EMA50,2024-10,4h,3998,0.000916821500132281,0.0006696355850645951,0.004660402771762606,0.004168464554775153,0.18934467233616809,0.1805902951475738,0.6300650325162581,0.011076818634965091
03_trend_regime,EMA20<=EMA50,2024-10,12h,3998,0.0007809587685273511,0.0005011797751285952,0.007604785428654504,0.0079753771768587,0.3691845922961481,0.36818409204602304,0.26263131565782893,0.020304284852739718
03_trend_regime,EMA20<=EMA50,2024-11,1h,3760,0.0005296239795419266,0.0004113793100570245,0.0029036572508776004,0.002707993065697023,0.08085106382978724,0.09335106382978724,0.8257978723404256,0.006616596279687923
03_trend_regime,EMA20<=EMA50,2024-11,4h,3760,0.0012805345809611124,0.002141603128920083,0.0055654228491262,0.005395806376915557,0.2702127659574468,0.25638297872340426,0.4734042553191489,0.013849457053690398
03_trend_regime,EMA20<=EMA50,2024-11,12h,3760,0.0032631951929504854,0.006370483448927217,0.012395612667082112,0.008705471582588609,0.4273936170212766,0.38909574468085106,0.18351063829787234,0.025126194087331636
03_trend_regime,EMA20<=EMA50,2024-12,1h,4309,0.00038686614787386553,0.00017365961531541104,0.002932468463911597,0.0028525993691830287,0.07356695288930146,0.09398932466929683,0.8324437224414017,0.0066167291641588315
03_trend_regime,EMA20<=EMA50,2024-12,4h,4273,0.0010344646516000644,0.000697841053156733,0.005914579604099579,0.005647031971042327,0.25251579686403,0.2834074420781652,0.4640767610578048,0.01385726795506891
03_trend_regime,EMA20<=EMA50,2024-12,12h,4236,0.001827881252158825,0.0015145202231955641,0.011331322222429274,0.010220536880844178,0.4480642115203022,0.39990557129367327,0.15203021718602455,0.027980895633668998
03_trend_regime,spread_Q1,2024-01,1h,2333,0.00046706229040061054,-4.471091730528726e-05,0.0033433647109073483,0.0033913467737147762,0.0775825117873982,0.1191598799828547,0.8032576082297471,0.007679132466969698
03_trend_regime,spread_Q1,2024-01,4h,2333,0.0019236182790653977,0.0013050552896146932,0.007054519657967884,0.006902386219230894,0.30261465923703385,0.3146163737676811,0.38276896699528506,0.015874138404869932
03_trend_regime,spread_Q1,2024-01,12h,2333,0.001289391241685367,-0.00020172812021749192,0.011105792861376251,0.011863279091534396,0.44877839691384486,0.5006429489927132,0.05057865409344192,0.025349650349650348
03_trend_regime,spread_Q1,2024-02,1h,1404,0.0008529420912135599,0.00077338327328204,0.0029100296788742153,0.002009790211432716,0.04843304843304843,0.06695156695156695,0.8846153846153846,0.006018159602883504
03_trend_regime,spread_Q1,2024-02,4h,1404,0.002745696018089272,0.003173009627945266,0.0063318697315714045,0.00425188192718462,0.23931623931623933,0.18803418803418803,0.5726495726495726,0.012652389172395497
03_trend_regime,spread_Q1,2024-02,12h,1404,0.006032690378167671,0.009711016286134407,0.013986948902354523,0.006591782689797043,0.5349002849002849,0.27706552706552706,0.18803418803418803,0.021517742949812922
03_trend_regime,spread_Q1,2024-03,1h,2344,0.0007468385657452004,0.00023348547148996444,0.004363131806804477,0.004393798559738704,0.15656996587030717,0.23848122866894197,0.6049488054607508,0.010847995750466119
03_trend_regime,spread_Q1,2024-03,4h,2344,0.001710541853040204,0.001363946469932369,0.008470039516974781,0.008141595319679895,0.3515358361774744,0.3869453924914676,0.261518771331058,0.021732730730471116
03_trend_regime,spread_Q1,2024-03,12h,2344,0.0033699894388047325,0.002360396951292625,0.016967142435199145,0.016690498771720408,0.507679180887372,0.43899317406143346,0.05332764505119454,0.03958878021257363
03_trend_regime,spread_Q1,2024-04,1h,2710,0.0003123276443687262,-0.00018077468704667533,0.0036026408103234653,0.0038383931054800646,0.12361623616236163,0.16457564575645756,0.7118081180811808,0.009097215873890317
03_trend_regime,spread_Q1,2024-04,4h,2710,0.00012174010894827614,-0.0009501960862732622,0.007096151278074614,0.008617188995809155,0.2959409594095941,0.42435424354243545,0.27970479704797047,0.020182952072329077
03_trend_regime,spread_Q1,2024-04,12h,2710,0.00032628888828578617,-0.0009537273917683004,0.011098786730385224,0.017384009329526662,0.4055350553505535,0.5512915129151291,0.04317343173431734,0.03481468099904107
03_trend_regime,spread_Q1,2024-05,1h,2107,0.00046689370124353147,0.00020370717227024776,0.0029908710551973527,0.0026905320898039653,0.054105363075462744,0.08732795443758899,0.8585666824869482,0.0064327781566810615
03_trend_regime,spread_Q1,2024-05,4h,2107,0.0014859899391197473,0.0011653808600568987,0.0060445097023089644,0.005863306152351644,0.23825344091124823,0.27906976744186046,0.4826767916468913,0.013553727636140626
03_trend_regime,spread_Q1,2024-05,12h,2107,0.001819538938848675,0.00371840972516766,0.010498928353123604,0.008960636564645741,0.4803037494067394,0.3749406739439962,0.14475557664926436,0.02020623429631157
03_trend_regime,spread_Q1,2024-06,1h,1808,0.00014067450101895584,-0.00023116640089519612,0.0025677501638101674,0.0028951642200966687,0.034292035398230086,0.08904867256637168,0.8766592920353983,0.006492538407663029
03_trend_regime,spread_Q1,2024-06,4h,1808,-0.000492609618680806,-0.001083489324415509,0.004432321545213336,0.005922969906983266,0.18971238938053098,0.3036504424778761,0.5066371681415929,0.012639306550230038
03_trend_regime,spread_Q1,2024-06,12h,1808,-0.0009234766027364505,-0.002671136193738906,0.007666049944088482,0.012046717098936954,0.32798672566371684,0.4894911504424779,0.18252212389380532,0.022244970518545952
03_trend_regime,spread_Q1,2024-07,1h,2501,0.00033474175941572426,-9.758383339764007e-05,0.002930879354443139,0.0031370650151530954,0.05917632946821272,0.10715713714514194,0.8336665333866453,0.0071729100119382215
03_trend_regime,spread_Q1,2024-07,4h,2501,0.00045599635202919764,-0.000857666413247322,0.005636504215137617,0.006531816929794099,0.2179128348660536,0.3210715713714514,0.461015593762495,0.013961078843071247
03_trend_regime,spread_Q1,2024-07,12h,2501,-0.0004934821632579522,0.000610929310180198,0.010021175028165574,0.013013892435781993,0.40903638544582166,0.5129948020791684,0.07796881247501,0.024190838104812012
03_trend_regime,spread_Q1,2024-08,1h,2649,0.00042375281201012527,2.0136787525221757e-05,0.0036616787404355478,0.0040088812450802536,0.11098527746319366,0.17214043035107587,0.7168742921857305,0.008766374157446188
03_trend_regime,spread_Q1,2024-08,4h,2649,0.0006708475419623383,0.00031437437170690703,0.0067725432952232545,0.008309538191906052,0.26009815024537564,0.3858059645149113,0.3540958852397131,0.016708490739308725
03_trend_regime,spread_Q1,2024-08,12h,2649,0.0022551689965513155,-0.001057581579767922,0.012680453627553323,0.014125304571555142,0.37032842582106457,0.5760664401661004,0.05360513401283503,0.03077906197736571
03_trend_regime,spread_Q1,2024-09,1h,2110,0.0005987164467814443,0.0003077488096224265,0.002893535238657541,0.0025769619161319923,0.037914691943127965,0.06350710900473934,0.8985781990521327,0.006286153297778955
03_trend_regime,spread_Q1,2024-09,4h,2110,0.0011068464127130806,0.0012284953670729148,0.005587085119443169,0.005259464676366399,0.21516587677725119,0.2127962085308057,0.5720379146919431,0.012301456259778642
